State,Math Score 2019,Math Score 2003,Math Score Pct,Math Score Pct Rank,Math Score 2019 Rank
Mississippi,236,216,0.09297550770585938,1,2
Florida,239,222,0.07542778795473182,2,1
Nevada,229,216,0.0620453029490442,3,23
Rhode Island,229,217,0.05312820758524217,4,24
Illinois,226,216,0.04993837029647619,5,34
Hawaii,226,216,0.047281135717164524,6,36
Tennessee,226,216,0.04636522851106428,7,42
Kentucky,230,220,0.04585541200792442,8,16
New Jersey,231,221,0.045392805721508944,9,15
Nebraska,233,222,0.04537787093160128,10,8
New Mexico,226,217,0.04433348938790482,11,35
Virginia,234,225,0.043036171295752323,12,6
Indiana,235,225,0.041997612878551305,13,5
Arizona,226,217,0.039636129447754076,14,40
Maryland,224,216,0.03934601371907753,15,46
Georgia,227,219,0.03813778958931047,16,31
California,223,216,0.03357366610225698,17,47
Connecticut,227,220,0.03315599373026523,18,27
Oklahoma,230,223,0.03300993475402203,19,18
Pennsylvania,227,220,0.031126370931706893,20,28
Utah,232,225,0.030841677054729066,21,10
Alabama,220,213,0.03071631344157888,22,50
Colorado,225,219,0.02894223836111487,23,43
Ohio,230,224,0.02777675896512899,24,19
Idaho,233,227,0.026638740815063455,25,7
Texas,235,229,0.025095206994774744,26,4
Missouri,230,224,0.02368444634864786,27,21
Minnesota,231,226,0.02274990153952361,28,12
Arkansas,226,221,0.022549397494430856,29,39
Wisconsin,226,221,0.021516998066994697,30,38
Louisiana,224,220,0.02131757631641351,31,45
Massachusetts,231,226,0.02059841556090891,32,14
Michigan,224,220,0.019319463694376315,33,44
Montana,232,227,0.01770349146453709,34,11
New Hampshire,232,229,0.01464465377366686,35,9
Wyoming,236,233,0.013538523608613406,36,3
North Dakota,231,228,0.011783967460355038,37,13
Delaware,227,225,0.007701788594614678,38,33
Maine,230,228,0.007549839865839125,39,20
Washington,228,226,0.0073197419058208535,40,25
New York,226,225,0.005496454610964152,41,41
Oregon,227,226,0.004646267118088243,42,29
North Carolina,230,229,0.004351693626808428,43,17
South Carolina,227,226,0.0034119471676812285,44,32
Vermont,229,229,0.002215128448596948,45,22
Alaska,220,220,4.444501113858301e-4,46,49
Iowa,227,227,-5.280128660749561e-4,47,30
South Dakota,226,227,-0.00436676610671316,48,37
West Virginia,222,225,-0.01237584091654742,49,48
Kansas,228,231,-0.012977621471733536,50,26
United States,229,222,0.03327411296935012,NA,NA
