State,Reading Score 2019,Reading Score 2003,Reading Score Pct,Reading Score Pct Rank,Reading Score 2019 Rank
California,248,237,0.04295341364142402,1,39
Florida,255,245,0.03824237764776184,2,5
Georgia,252,243,0.03543948728401247,3,14
Connecticut,254,245,0.03539895983866881,4,8
Wisconsin,252,244,0.034657140034847655,5,13
Nevada,249,242,0.0314903700907907,6,33
Indiana,255,248,0.030491752561913943,7,3
Arizona,248,241,0.02778026255849597,8,35
Hawaii,245,240,0.02181050002601581,9,45
Maryland,247,242,0.02173067393458883,10,40
New Jersey,251,246,0.02088305780882682,11,18
Louisiana,249,245,0.019051099276386818,12,32
Mississippi,250,246,0.016944762566685645,13,19
Utah,254,251,0.013308092449588749,14,6
Tennessee,248,245,0.012981167647514003,15,37
New Mexico,244,241,0.012932543243956207,16,48
Michigan,250,247,0.012916776269197294,17,21
North Carolina,249,247,0.01093209700335418,18,31
Pennsylvania,250,247,0.010270671146041632,19,25
Massachusetts,253,251,0.010114254353140728,20,10
Illinois,251,249,0.009192028890954385,21,16
Alabama,243,241,0.008804126872154372,22,49
South Carolina,249,247,0.006741503078249167,23,34
Vermont,257,255,0.005221575359896091,24,1
New York,250,249,0.004314869881461458,25,23
Washington,249,248,0.00421816529746466,26,30
Idaho,255,254,0.003919907479465579,27,4
Alaska,240,239,0.0015705231316873736,28,50
Texas,246,246,0.0010250498073247627,29,43
Oregon,254,254,4.348367726043634e-4,30,7
Colorado,250,250,2.344351115670662e-4,31,27
Arkansas,250,250,-1.566440514321199e-4,32,28
Rhode Island,245,245,-0.001894438835670198,33,47
Ohio,250,251,-0.0029009826140615758,34,26
Minnesota,247,248,-0.003158977224597903,35,41
Oklahoma,250,251,-0.004061648470837342,36,24
Kansas,251,253,-0.005638041979742714,37,17
Wyoming,253,255,-0.009893073047563039,38,12
Maine,255,258,-0.010095523782403415,39,2
Missouri,251,255,-0.012449086202901083,40,15
Nebraska,250,253,-0.012764942376182864,41,29
Kentucky,253,257,-0.01530615620717457,42,11
West Virginia,248,252,-0.015501878792722135,43,38
New Hampshire,250,255,-0.018016805588470297,44,22
Montana,253,258,-0.019358430618781064,45,9
Delaware,245,250,-0.02037759471947831,46,46
Iowa,246,252,-0.022494334308567177,47,42
Virginia,246,252,-0.02350353946692496,48,44
North Dakota,250,259,-0.03386937700881376,49,20
South Dakota,248,261,-0.049266997230908105,50,36
United States,250,247,0.01187070062635498,NA,NA
