State,Math Score 2019,Math Score 2003,Math Score Pct,Math Score Pct Rank,Math Score 2019 Rank
Mississippi,241,223,0.07993293570926707,1,23
Tennessee,240,228,0.052440122060986694,2,25
Florida,246,234,0.052320467139693516,3,4
Hawaii,239,227,0.05172359066914822,4,32
Kentucky,239,229,0.046275395527318075,5,30
Rhode Island,239,230,0.03927954215842089,6,28
New Mexico,231,223,0.038613954826126395,7,49
Utah,244,235,0.03835882495751397,8,10
Arizona,238,229,0.03800072866620008,9,36
Nevada,236,228,0.03565808813187421,10,43
Oklahoma,237,229,0.03535102659751388,11,38
Pennsylvania,244,236,0.03386311332629788,12,9
Virginia,247,239,0.03213336282013057,13,3
Georgia,238,230,0.03211005189898164,14,35
California,235,227,0.03194917676023823,15,44
Nebraska,244,236,0.03181701396928127,16,11
New Jersey,246,239,0.029965679202099027,17,5
Idaho,242,235,0.029602398531052954,18,15
Indiana,245,238,0.0290576517964789,19,7
Colorado,242,235,0.028370305081228953,20,16
Alabama,230,223,0.02823618748785517,21,50
Minnesota,248,242,0.02685766701403791,22,1
Texas,244,237,0.026592680586533968,23,12
Maryland,239,233,0.023522405835938676,24,33
Massachusetts,247,242,0.023399795998171102,25,2
Montana,241,236,0.022728265669133663,26,21
North Dakota,243,238,0.02252318612797355,27,14
Louisiana,231,226,0.022319342914867146,28,48
Wisconsin,242,237,0.020763201177248725,29,17
Wyoming,246,241,0.019734476163455472,30,6
Illinois,237,233,0.01949910846494496,31,37
Arkansas,233,229,0.018538767004968593,32,45
South Dakota,241,237,0.016991563856079805,33,19
Missouri,238,235,0.015218254069641723,34,34
Delaware,239,236,0.01467102858737035,35,29
Ohio,241,238,0.01412385541216099,36,20
Maine,241,238,0.013222611132176931,37,22
Connecticut,243,241,0.010989746283692758,38,13
Iowa,241,238,0.009275539287485923,39,24
New Hampshire,245,243,0.005960673785252002,40,8
Washington,240,238,0.005111358798922883,41,26
South Carolina,237,236,0.004076877535060364,42,39
New York,237,236,0.003393377953893939,43,40
West Virginia,231,231,0.0031564209375922747,44,47
Michigan,236,236,0.001971258491134442,45,42
Oregon,236,236,1.8239070628367493e-4,46,41
North Carolina,241,242,-0.0026111375759636513,47,18
Alaska,232,233,-0.002936585294669336,48,46
Kansas,239,242,-0.00954550079959493,49,27
Vermont,239,242,-0.012508778507155704,50,31
Puerto Rico,185,NA,NA,51,51
United States,241,235,0.023828131318419876,NA,NA
