State,Math Score 2019,Math Score 2003,Math Score Pct,Math Score Pct Rank,Math Score 2019 Rank
Mississippi,274,261,0.04980842911877392,1,44.5
Tennessee,280,268,0.04477611940298498,2,30
New Jersey,292,281,0.039145907473309594,3,2
Hawaii,275,266,0.03383458646616533,4,42
California,276,267,0.03370786516853941,5,39.5
Georgia,279,270,0.03333333333333344,6,34.5
Arizona,280,271,0.03321033210332103,7,30
Arkansas,274,266,0.03007518796992481,8,44.5
Florida,279,271,0.029520295202952074,9,34.5
Alabama,269,262,0.026717557251908497,10,49.5
Massachusetts,294,287,0.024390243902439046,11,1
New Mexico,269,263,0.02281368821292773,12,49.5
Louisiana,272,266,0.022556390977443552,13,47.5
Nevada,274,268,0.02238805970149249,14,44.5
Illinois,283,277,0.02166064981949467,15,22
Pennsylvania,285,279,0.021505376344086002,16,17.5
Idaho,286,280,0.021428571428571352,17,12
Indiana,286,281,0.017793594306049876,18.5,12
Washington,286,281,0.017793594306049876,18.5,12
Virginia,287,282,0.01773049645390068,20,6.5
Wisconsin,289,284,0.01760563380281699,21,4
Oklahoma,276,272,0.014705882352941124,22.5,39.5
Rhode Island,276,272,0.014705882352941124,22.5,39.5
Kentucky,278,274,0.014598540145985384,24,36
Michigan,280,276,0.01449275362318847,25,30
Utah,285,281,0.014234875444839812,26,17.5
Ohio,286,282,0.014184397163120588,27,12
Texas,280,277,0.010830324909747224,28,30
North Carolina,284,281,0.01067615658362997,29,20.5
Nebraska,285,282,0.010638297872340496,30,17.5
Maryland,280,278,0.007194244604316502,31,30
Missouri,281,279,0.007168458781362075,32,26
Colorado,285,283,0.007067137809187329,33,17.5
Connecticut,286,284,0.007042253521126751,34.5,12
Wyoming,286,284,0.007042253521126751,34.5,12
South Dakota,287,285,0.007017543859649145,36,6.5
West Virginia,272,271,0.0036900369003689537,37,47.5
New Hampshire,287,286,0.0034965034965035446,38.5,6.5
Vermont,287,286,0.0034965034965035446,38.5,6.5
Delaware,277,277,0,41.5,37
Maine,282,282,0,41.5,24
Minnesota,291,291,0,41.5,3
New York,280,280,0,41.5,30
North Dakota,286,287,-0.0034843205574912606,44,12
Oregon,280,281,-0.003558718861209953,45,30
South Carolina,276,277,-0.0036101083032491488,46,39.5
Montana,284,286,-0.006993006993006978,47,20.5
Iowa,282,284,-0.007042253521126751,48.5,24
Kansas,282,284,-0.007042253521126751,48.5,24
Alaska,274,279,-0.017921146953404965,50,44.5
United States,282,278,0.014388489208633004,NA,NA
