State,Total Capital Outlays - Per Pupil (2002),Total Capital Outlays - Per Pupil (2020),Percent Change
Kentucky,322.66190445319694,1254.27,2.887257784973297
Rhode Island,248.9601205942076,941.03,2.779842320745945
Hawaii,329.5353466782908,1089.23,2.305351037390723
Montana,670.3483370074184,2101.42,2.134817950591477
North Dakota,783.3413735859043,2434.42,2.107738314466843
Kansas,711.3868302925374,1959.09,1.7539025415952394
Oregon,1462.1659933372935,3357.8,1.2964560900066155
Washington,1483.9704003958893,3093.53,1.0846305284625064
Arkansas,768.9302489206864,1535.92,0.9974763668823063
District of Columbia,4617.783534884417,8088.85,0.751673706420815
Iowa,1365.1002819148548,2210.06,0.6189726346696687
Indiana,1271.1536115021227,1994.29,0.5688819840139909
Oklahoma,793.9692170263855,1159.06,0.45982989660603124
Colorado,1516.9658110772746,2163.99,0.42652522831957596
Minnesota,2204.5121936521023,3036.16,0.3772479956076584
Utah,1280.7995346247335,1763.37,0.37677283004061723
Mississippi,878.5876444193474,1170.47,0.33221768759741166
Maine,966.3539928313648,1277.39,0.32186549595279934
Wisconsin,1423.4234607954304,1852.78,0.30163654810399065
Wyoming,1520.4458522038453,1890.14,0.24314851282621674
Maryland,1578.9711911498648,1932.91,0.2241578635721555
California,1645.7562127697365,1994.12,0.21167399188728098
Texas,1896.0736938033535,2232.59,0.1774806049450668
Connecticut,1425.2140213750768,1607.25,0.12772536327511785
New York,2439.956469870915,2746.44,0.1256102450652734
Missouri,1311.0657844226255,1416.41,0.08035006086576102
United States,1620.110764467706,1750.02,0.08018540360416404
New Mexico,1682.8092647646754,1785.88,0.061249208328870264
South Dakota,1696.6716692522596,1786.46,0.052920274661809596
Ohio,1710.5340737398435,1718.16,0.004458213593771632
Nebraska,1854.2843202751571,1761.88,-0.049832875824266876
Louisiana,882.298725620711,829.42,-0.059932904905319995
West Virginia,995.6672023207356,935.54,-0.0603888550115832
South Carolina,2049.7297835454197,1907.75,-0.06926756135622769
Virginia,1400.6804534329876,1172.51,-0.16289971982814133
Alabama,986.3245192962908,825.47,-0.16308478208678723
Pennsylvania,1833.4329535250824,1530.38,-0.1652926292954494
Arizona,1624.4138858607269,1351.53,-0.16798913641158275
North Carolina,1262.8506088142467,1049.36,-0.16905452420433464
Georgia,1629.3234874500795,1324.98,-0.1867913215480509
Massachusetts,1738.0422826448937,1409.39,-0.18909337587849806
New Jersey,1526.6839342232581,1191,-0.21987781930386685
Idaho,983.9996785436857,760.32,-0.22731682074808235
Illinois,2037.325819529967,1556.34,-0.23608684232988109
Vermont,972.4765548133813,741.77,-0.2372361098799487
Michigan,1964.5770759794987,1430.02,-0.2720977876182228
Nevada,2447.8840324372527,1672.27,-0.3168508075380545
Florida,1732.6272808919312,1150.95,-0.33571979808172714
Tennessee,1226.6783971044565,812.25,-0.3378460059969298
New Hampshire,1328.5093100695024,841.56,-0.366538123879634
Delaware,1999.8395673947912,1223.88,-0.38801090849784536
Alaska,2338.544317041432,1161.21,-0.5034475115403909
