State,All Support Services - Per Pupil (2002),All Support Services - Per Pupil (2020),Percent Change
New Hampshire,3725.88220615512,6280.11,0.6855363783710933
Hawaii,3581.9875595730605,6000.98,0.6753212846767287
Vermont,4832.8674045120915,7895.49,0.6337071430158758
Connecticut,4854.512971519267,7826.69,0.6122503010946865
Washington,3477.701845813339,5589.96,0.6073718357223525
Maine,3783.902144937529,5947.62,0.5718218315865546
North Dakota,3058.1619499984727,4647.44,0.5196840703620424
New York,4758.847940550261,7213.26,0.5157576140510045
Illinois,4237.015051620763,6379.12,0.5055693506587446
Alaska,5266.659584940756,7894.07,0.49887606606888735
Delaware,4572.7018402904205,6826.29,0.49283514176521304
Louisiana,3060.1691106482376,4554.88,0.4884406172687421
Rhode Island,4465.918005721997,6446.03,0.44338297114746994
Wyoming,4482.235211004258,6283.25,0.40181175333550123
California,3753.217135004075,5190.25,0.3828802899767121
Mississippi,2568.9201516194717,3547.41,0.3808953920828091
Arkansas,2926.2091872822803,3992.15,0.3642736197228993
Pennsylvania,4435.261875797893,5967.49,0.34546508574005297
Massachusetts,4903.377947338001,6569.57,0.3398049407075707
South Carolina,3472.893324256708,4576.49,0.3177744240040805
Alabama,2812.1764703672256,3700.11,0.31574602056066015
Utah,2054.018464933766,2690.01,0.30963282264687053
Tennessee,2613.4242460264873,3417.78,0.30777848456731616
Montana,3442.2805143466258,4468.13,0.2980144939896303
Nebraska,3387.6539766627393,4396.96,0.2979365750723906
Maryland,4143.357181301523,5296.12,0.2782195133696794
Colorado,3829.359279653066,4878.06,0.2738580122056202
Kentucky,3142.982537456878,3994.99,0.2710824678117738
Missouri,3519.8810994677488,4435.32,0.26007665448434514
United States,3841.38780354698,4815.23,0.253513117200459
New Jersey,6496.558103087641,8027.06,0.2355865787123419
Nevada,2990.1495279812625,3691.39,0.23451685792187305
Virginia,3732.7845283895626,4606.83,0.2341537436631862
Georgia,3281.0867421644357,4009.58,0.2220280398179899
Iowa,3508.300215718746,4286.52,0.221822460003418
West Virginia,3634.3758965323896,4410.28,0.21349032834163117
Kansas,3670.880228349694,4394.48,0.19711887248786986
Oregon,4192.741997288542,4995.44,0.19144941502018598
Minnesota,3559.8365924022755,4142.46,0.16366577298553864
Arizona,3080.8327573375423,3562.58,0.1563691639914866
New Mexico,3671.0101883917655,4214.6,0.14807635601969715
South Dakota,3169.754306123525,3637.17,0.14746117482149734
Ohio,4553.770994162063,5173.42,0.13607381808007624
Texas,3363.97236899645,3719.43,0.10566603765226268
Wisconsin,4289.605548645536,4731.09,0.1029195916379455
Indiana,3847.683645585091,4236.85,0.10114302272782916
North Carolina,2925.1695069457114,3189.95,0.09051799987165743
Florida,3228.221885050847,3377.12,0.046123878794907425
Oklahoma,3344.3050826296894,3481.23,0.04094271126204907
Michigan,4876.923858774195,5059.44,0.03742443936200379
Idaho,2924.360866683936,2923.89,-1.6101524586120686e-4
