State,2003,2019,2022,19 diff,22 diff,1922 diff
Alabama,213,220,218,7,5,-2
Alaska,220,220,213,0,-7,-7
Arizona,217,226,218,9,1,-8
Arkansas,221,226,221,5,0,-5
California,216,223,218,7,2,-5
Colorado,219,225,220,6,1,-5
Connecticut,220,227,219,7,-1,-8
Delaware,225,227,210,2,-15,-17
District of Columbia,200,226,213,26,13,-13
Florida,222,239,233,17,11,-6
Georgia,219,227,225,8,6,-2
Hawaii,216,226,225,10,9,-1
Idaho,227,233,226,6,-1,-7
Illinois,216,226,221,10,5,-5
Indiana,225,235,229,10,4,-6
Iowa,227,227,226,0,-1,-1
Kansas,231,228,220,-3,-11,-8
Kentucky,220,230,224,10,4,-6
Louisiana,220,224,221,4,1,-3
Maine,228,230,220,2,-8,-10
Maryland,216,224,210,8,-6,-14
Massachusetts,226,231,225,5,-1,-6
Michigan,220,224,220,4,0,-4
Minnesota,226,231,219,5,-7,-12
Mississippi,216,236,229,20,13,-7
Missouri,224,230,217,6,-7,-13
Montana,227,232,228,5,1,-4
Nebraska,222,233,226,11,4,-7
Nevada,216,229,225,13,9,-4
New Hampshire,229,232,224,3,-5,-8
New Jersey,221,231,220,10,-1,-11
New Mexico,217,226,216,9,-1,-10
New York,225,226,217,1,-8,-9
North Carolina,229,230,219,1,-10,-11
North Dakota,228,231,225,3,-3,-6
Ohio,224,230,221,6,-3,-9
Oklahoma,223,230,222,7,-1,-8
Oregon,226,227,228,1,2,1
Pennsylvania,220,227,223,7,3,-4
Rhode Island,217,229,222,12,5,-7
South Carolina,226,227,224,1,-2,-3
South Dakota,227,226,220,-1,-7,-6
Tennessee,216,226,221,10,5,-5
Texas,229,235,228,6,-1,-7
United States,222,229,223,7,1,-6
Utah,225,232,222,7,-3,-10
Vermont,229,229,219,0,-10,-10
Virginia,225,234,218,9,-7,-16
Washington,226,228,222,2,-4,-6
West Virginia,225,222,220,-3,-5,-2
Wisconsin,221,226,224,5,3,-2
Wyoming,233,236,232,3,-1,-4
