State,2003,2019,2022,19 diff,22 diff,1922 diff
Alabama,193,199,201,6,8,2
Alaska,192,189,188,-3,-4,-1
Arizona,194,202,201,8,7,-1
Arkansas,204,207,200,3,-4,-7
California,191,205,201,14,10,-4
Colorado,207,208,203,1,-4,-5
Connecticut,205,205,201,0,-4,-4
Delaware,212,202,189,-10,-23,-13
District of Columbia,182,203,194,21,12,-9
Florida,205,216,215,11,10,-1
Georgia,200,207,204,7,4,-3
Hawaii,197,206,204,9,7,-2
Idaho,207,211,203,4,-4,-8
Illinois,197,205,201,8,4,-4
Indiana,205,209,208,4,3,-1
Iowa,209,207,204,-2,-5,-3
Kansas,206,206,200,0,-6,-6
Kentucky,209,212,206,3,-3,-6
Louisiana,195,202,204,7,9,2
Maine,213,209,197,-4,-16,-12
Maryland,199,205,195,6,-4,-10
Massachusetts,210,213,209,3,-1,-4
Michigan,201,206,198,5,-3,-8
Minnesota,203,205,194,2,-9,-11
Mississippi,197,215,212,18,15,-3
Missouri,208,207,197,-1,-11,-10
Montana,208,208,204,0,-4,-4
Nebraska,207,209,202,2,-5,-7
Nevada,192,211,207,19,15,-4
New Hampshire,206,208,204,2,-2,-4
New Jersey,203,210,203,7,0,-7
New Mexico,195,201,195,6,0,-6
New York,208,206,202,-2,-6,-4
North Carolina,206,208,200,2,-6,-8
North Dakota,210,209,200,-1,-10,-9
Ohio,206,210,201,4,-5,-9
Oklahoma,204,208,201,4,-3,-7
Oregon,205,207,210,2,5,3
Pennsylvania,198,207,202,9,4,-5
Rhode Island,200,206,203,6,3,-3
South Carolina,202,204,204,2,2,0
South Dakota,210,208,197,-2,-13,-11
Tennessee,198,202,198,4,0,-4
Texas,205,206,202,1,-3,-4
United States,201,207,203,6,2,-4
Utah,206,208,199,2,-7,-9
Vermont,214,206,202,-8,-12,-4
Virginia,205,208,192,3,-13,-16
Washington,208,206,201,-2,-7,-5
West Virginia,212,204,194,-8,-18,-10
Wisconsin,205,204,201,-1,-4,-3
Wyoming,212,215,211,3,-1,-4
