State,Year,NAEP,US NAEP
DoDEA,2003,224,218
United States,2003,218,218
Alabama,2003,207,218
Alaska,2003,212,218
Arizona,2003,209,218
Arkansas,2003,214,218
California,2003,206,218
Colorado,2003,224,218
Connecticut,2003,228,218
Delaware,2003,224,218
District of Columbia,2003,188,218
Florida,2003,218,218
Georgia,2003,214,218
Hawaii,2003,208,218
Idaho,2003,218,218
Illinois,2003,216,218
Indiana,2003,220,218
Iowa,2003,223,218
Kansas,2003,220,218
Kentucky,2003,219,218
Louisiana,2003,205,218
Maine,2003,224,218
Maryland,2003,219,218
Massachusetts,2003,228,218
Michigan,2003,219,218
Minnesota,2003,223,218
Mississippi,2003,205,218
Missouri,2003,222,218
Montana,2003,223,218
Nebraska,2003,221,218
Nevada,2003,207,218
New Hampshire,2003,228,218
New Jersey,2003,225,218
New Mexico,2003,203,218
New York,2003,222,218
North Carolina,2003,221,218
North Dakota,2003,222,218
Ohio,2003,222,218
Oklahoma,2003,214,218
Oregon,2003,218,218
Pennsylvania,2003,219,218
Rhode Island,2003,216,218
South Carolina,2003,215,218
South Dakota,2003,222,218
Tennessee,2003,212,218
Texas,2003,215,218
Utah,2003,219,218
Vermont,2003,226,218
Virginia,2003,223,218
Washington,2003,221,218
West Virginia,2003,219,218
Wisconsin,2003,221,218
Wyoming,2003,222,218
DoDEA,2005,226,219
United States,2005,219,219
Alabama,2005,208,219
Alaska,2005,211,219
Arizona,2005,207,219
Arkansas,2005,217,219
California,2005,207,219
Colorado,2005,224,219
Connecticut,2005,226,219
Delaware,2005,226,219
District of Columbia,2005,191,219
Florida,2005,219,219
Georgia,2005,214,219
Hawaii,2005,210,219
Idaho,2005,222,219
Illinois,2005,216,219
Indiana,2005,218,219
Iowa,2005,221,219
Kansas,2005,220,219
Kentucky,2005,220,219
Louisiana,2005,209,219
Maine,2005,225,219
Maryland,2005,220,219
Massachusetts,2005,231,219
Michigan,2005,218,219
Minnesota,2005,225,219
Mississippi,2005,204,219
Missouri,2005,221,219
Montana,2005,225,219
Nebraska,2005,221,219
Nevada,2005,207,219
New Hampshire,2005,227,219
New Jersey,2005,223,219
New Mexico,2005,207,219
New York,2005,223,219
North Carolina,2005,217,219
North Dakota,2005,225,219
Ohio,2005,223,219
Oklahoma,2005,214,219
Oregon,2005,217,219
Pennsylvania,2005,223,219
Rhode Island,2005,216,219
South Carolina,2005,213,219
South Dakota,2005,222,219
Tennessee,2005,214,219
Texas,2005,219,219
Utah,2005,221,219
Vermont,2005,227,219
Virginia,2005,226,219
Washington,2005,223,219
West Virginia,2005,215,219
Wisconsin,2005,221,219
Wyoming,2005,223,219
DoDEA,2007,229,221
United States,2007,221,221
Alabama,2007,216,221
Alaska,2007,214,221
Arizona,2007,210,221
Arkansas,2007,217,221
California,2007,209,221
Colorado,2007,224,221
Connecticut,2007,227,221
Delaware,2007,225,221
District of Columbia,2007,197,221
Florida,2007,224,221
Georgia,2007,219,221
Hawaii,2007,213,221
Idaho,2007,223,221
Illinois,2007,219,221
Indiana,2007,222,221
Iowa,2007,225,221
Kansas,2007,225,221
Kentucky,2007,222,221
Louisiana,2007,207,221
Maine,2007,226,221
Maryland,2007,225,221
Massachusetts,2007,236,221
Michigan,2007,220,221
Minnesota,2007,225,221
Mississippi,2007,208,221
Missouri,2007,221,221
Montana,2007,227,221
Nebraska,2007,223,221
Nevada,2007,211,221
New Hampshire,2007,229,221
New Jersey,2007,231,221
New Mexico,2007,212,221
New York,2007,224,221
North Carolina,2007,218,221
North Dakota,2007,226,221
Ohio,2007,226,221
Oklahoma,2007,217,221
Oregon,2007,215,221
Pennsylvania,2007,226,221
Rhode Island,2007,219,221
South Carolina,2007,214,221
South Dakota,2007,223,221
Tennessee,2007,216,221
Texas,2007,220,221
Utah,2007,221,221
Vermont,2007,228,221
Virginia,2007,227,221
Washington,2007,224,221
West Virginia,2007,215,221
Wisconsin,2007,223,221
Wyoming,2007,225,221
DoDEA,2009,228,221
United States,2009,221,221
Alabama,2009,216,221
Alaska,2009,211,221
Arizona,2009,210,221
Arkansas,2009,216,221
California,2009,210,221
Colorado,2009,226,221
Connecticut,2009,229,221
Delaware,2009,226,221
District of Columbia,2009,202,221
Florida,2009,226,221
Georgia,2009,218,221
Hawaii,2009,211,221
Idaho,2009,221,221
Illinois,2009,219,221
Indiana,2009,223,221
Iowa,2009,221,221
Kansas,2009,224,221
Kentucky,2009,226,221
Louisiana,2009,207,221
Maine,2009,224,221
Maryland,2009,226,221
Massachusetts,2009,234,221
Michigan,2009,218,221
Minnesota,2009,223,221
Mississippi,2009,211,221
Missouri,2009,224,221
Montana,2009,225,221
Nebraska,2009,223,221
Nevada,2009,211,221
New Hampshire,2009,229,221
New Jersey,2009,229,221
New Mexico,2009,208,221
New York,2009,224,221
North Carolina,2009,219,221
North Dakota,2009,226,221
Ohio,2009,225,221
Oklahoma,2009,217,221
Oregon,2009,218,221
Pennsylvania,2009,224,221
Rhode Island,2009,223,221
