State,2003,2019,2022,19 diff,22 diff,1922 diff
Alabama,253,253,251,0,-2,-2
Alaska,256,252,253,-4,-3,1
Arizona,255,259,259,4,4,0
Arkansas,258,259,255,1,-3,-4
California,251,259,259,8,8,0
Colorado,268,267,263,-1,-5,-4
Connecticut,267,270,264,3,-3,-6
Delaware,265,260,253,-5,-12,-7
District of Columbia,239,250,250,11,11,0
DoDEA,272,280,282,8,10,2
Florida,257,263,260,6,3,-3
Georgia,258,262,260,4,2,-2
Hawaii,251,258,259,7,8,1
Idaho,264,266,264,2,0,-2
Illinois,266,265,262,-1,-4,-3
Indiana,265,266,261,1,-4,-5
Iowa,268,262,260,-6,-8,-2
Kansas,266,263,256,-3,-10,-7
Kentucky,266,263,258,-3,-8,-5
Louisiana,253,257,257,4,4,0
Maine,268,265,257,-3,-11,-8
Maryland,262,264,259,2,-3,-5
Massachusetts,273,273,269,0,-4,-4
Michigan,264,263,259,-1,-5,-4
Minnesota,268,264,260,-4,-8,-4
Mississippi,255,256,253,1,-2,-3
Missouri,267,263,258,-4,-9,-5
Montana,270,265,261,-5,-9,-4
Nebraska,266,264,259,-2,-7,-5
Nevada,252,258,259,6,7,1
New Hampshire,271,268,263,-3,-8,-5
New Jersey,268,270,270,2,2,0
New Mexico,252,252,248,0,-4,-4
New York,265,262,262,-3,-3,0
North Carolina,262,263,256,1,-6,-7
North Dakota,270,263,258,-7,-12,-5
Ohio,267,267,262,0,-5,-5
Oklahoma,262,258,251,-4,-11,-7
Oregon,264,264,257,0,-7,-7
Pennsylvania,264,264,259,0,-5,-5
Rhode Island,261,262,259,1,-2,-3
South Carolina,258,259,254,1,-4,-5
South Dakota,270,263,262,-7,-8,-1
Tennessee,258,262,258,4,0,-4
Texas,259,256,255,-3,-4,-1
United States,263,263,260,0,-3,-3
Utah,264,267,265,3,1,-2
Vermont,271,268,264,-3,-7,-4
Virginia,268,262,260,-6,-8,-2
Washington,264,266,262,2,-2,-4
West Virginia,260,256,249,-4,-11,-7
Wisconsin,266,267,262,1,-4,-5
Wyoming,267,265,261,-2,-6,-4
