State,Year,NAEP,US NAEP,,,,
DoDEA,2003,237,235,,,,
United States,2003,235,235,,,,
Alabama,2003,223,235,,,,
Alaska,2003,233,235,,,,
Arizona,2003,229,235,,,,
Arkansas,2003,229,235,,,,
California,2003,227,235,,,,
Colorado,2003,235,235,,,,
Connecticut,2003,241,235,,,,
Delaware,2003,236,235,,,,
District of Columbia,2003,205,235,,,,
Florida,2003,234,235,,,,
Georgia,2003,230,235,,,,
Hawaii,2003,227,235,,,,
Idaho,2003,235,235,,,,
Illinois,2003,233,235,,,,
Indiana,2003,238,235,,,,s
Iowa,2003,238,235,,,,
Kansas,2003,242,235,,,,
Kentucky,2003,229,235,,,,
Louisiana,2003,226,235,,,,
Maine,2003,238,235,,,,
Maryland,2003,233,235,,,,
Massachusetts,2003,242,235,,,,
Michigan,2003,236,235,,,,
Minnesota,2003,242,235,,,,
Mississippi,2003,223,235,,,,
Missouri,2003,235,235,,,,
Montana,2003,236,235,,,,
Nebraska,2003,236,235,,,,
Nevada,2003,228,235,,,,
New Hampshire,2003,243,235,,,,
New Jersey,2003,239,235,,,,
New Mexico,2003,223,235,,,,
New York,2003,236,235,,,,
North Carolina,2003,242,235,,,,
North Dakota,2003,238,235,,,,
Ohio,2003,238,235,,,,
Oklahoma,2003,229,235,,,,
Oregon,2003,236,235,,,,
Pennsylvania,2003,236,235,,,,
Rhode Island,2003,230,235,,,,
South Carolina,2003,236,235,,,,
South Dakota,2003,237,235,,,,
Tennessee,2003,228,235,,,,
Texas,2003,237,235,,,,
Utah,2003,235,235,,,,
Vermont,2003,242,235,,,,
Virginia,2003,239,235,,,,
Washington,2003,238,235,,,,
West Virginia,2003,231,235,,,,
Wisconsin,2003,237,235,,,,
Wyoming,2003,241,235,,,,
DoDEA,2005,239,238,,,,
United States,2005,238,238,,,,
Alabama,2005,225,238,,,,
Alaska,2005,236,238,,,,
Arizona,2005,230,238,,,,
Arkansas,2005,236,238,,,,
California,2005,230,238,,,,
Colorado,2005,239,238,,,,
Connecticut,2005,242,238,,,,
Delaware,2005,240,238,,,,
District of Columbia,2005,211,238,,,,
Florida,2005,239,238,,,,
Georgia,2005,234,238,,,,
Hawaii,2005,230,238,,,,
Idaho,2005,242,238,,,,
Illinois,2005,233,238,,,,
Indiana,2005,240,238,,,,
Iowa,2005,240,238,,,,
Kansas,2005,246,238,,,,
Kentucky,2005,231,238,,,,
Louisiana,2005,230,238,,,,
Maine,2005,241,238,,,,
Maryland,2005,238,238,,,,
Massachusetts,2005,247,238,,,,
Michigan,2005,238,238,,,,
Minnesota,2005,246,238,,,,
Mississippi,2005,227,238,,,,
Missouri,2005,235,238,,,,
Montana,2005,241,238,,,,
Nebraska,2005,238,238,,,,
Nevada,2005,230,238,,,,
New Hampshire,2005,246,238,,,,
New Jersey,2005,244,238,,,,
New Mexico,2005,224,238,,,,
New York,2005,238,238,,,,
North Carolina,2005,241,238,,,,
North Dakota,2005,243,238,,,,
Ohio,2005,242,238,,,,
Oklahoma,2005,234,238,,,,
Oregon,2005,238,238,,,,
Pennsylvania,2005,241,238,,,,
Rhode Island,2005,233,238,,,,
South Carolina,2005,238,238,,,,
South Dakota,2005,242,238,,,,
Tennessee,2005,232,238,,,,
Texas,2005,242,238,,,,
Utah,2005,239,238,,,,
Vermont,2005,244,238,,,,
Virginia,2005,240,238,,,,
Washington,2005,242,238,,,,
West Virginia,2005,231,238,,,,
Wisconsin,2005,241,238,,,,
Wyoming,2005,243,238,,,,
DoDEA,2007,240,240,,,,
United States,2007,240,240,,,,
Alabama,2007,229,240,,,,
Alaska,2007,237,240,,,,
Arizona,2007,232,240,,,,
Arkansas,2007,238,240,,,,
California,2007,230,240,,,,
Colorado,2007,240,240,,,,
Connecticut,2007,243,240,,,,
Delaware,2007,242,240,,,,
District of Columbia,2007,214,240,,,,
Florida,2007,242,240,,,,
Georgia,2007,235,240,,,,
Hawaii,2007,234,240,,,,
Idaho,2007,241,240,,,,
Illinois,2007,237,240,,,,
Indiana,2007,245,240,,,,
Iowa,2007,243,240,,,,
Kansas,2007,248,240,,,,
Kentucky,2007,235,240,,,,
Louisiana,2007,230,240,,,,
Maine,2007,242,240,,,,
Maryland,2007,240,240,,,,
Massachusetts,2007,252,240,,,,
Michigan,2007,238,240,,,,
Minnesota,2007,247,240,,,,
Mississippi,2007,228,240,,,,
Missouri,2007,239,240,,,,
Montana,2007,244,240,,,,
Nebraska,2007,238,240,,,,
Nevada,2007,232,240,,,,
New Hampshire,2007,249,240,,,,
New Jersey,2007,249,240,,,,
New Mexico,2007,228,240,,,,
New York,2007,243,240,,,,
North Carolina,2007,242,240,,,,
North Dakota,2007,245,240,,,,
Ohio,2007,245,240,,,,
Oklahoma,2007,237,240,,,,
Oregon,2007,236,240,,,,
Pennsylvania,2007,244,240,,,,
Rhode Island,2007,236,240,,,,
South Carolina,2007,237,240,,,,
South Dakota,2007,241,240,,,,
Tennessee,2007,233,240,,,,
Texas,2007,242,240,,,,
Utah,2007,239,240,,,,
Vermont,2007,246,240,,,,
Virginia,2007,244,240,,,,
Washington,2007,243,240,,,,
West Virginia,2007,236,240,,,,
Wisconsin,2007,244,240,,,,
Wyoming,2007,244,240,,,,
DoDEA,2009,240,240,,,,
United States,2009,240,240,,,,
Alabama,2009,228,240,,,,
Alaska,2009,237,240,,,,
Arizona,2009,230,240,,,,
Arkansas,2009,238,240,,,,
California,2009,232,240,,,,
Colorado,2009,243,240,,,,
Connecticut,2009,245,240,,,,
Delaware,2009,239,240,,,,
District of Columbia,2009,219,240,,,,
Florida,2009,242,240,,,,
Georgia,2009,236,240,,,,
Hawaii,2009,236,240,,,,
Idaho,2009,241,240,,,,
Illinois,2009,238,240,,,,
Indiana,2009,243,240,,,,
Iowa,2009,243,240,,,,
Kansas,2009,245,240,,,,
Kentucky,2009,239,240,,,,
Louisiana,2009,229,240,,,,
Maine,2009,244,240,,,,
Maryland,2009,244,240,,,,
Massachusetts,2009,252,240,,,,
Michigan,2009,236,240,,,,
Minnesota,2009,249,240,,,,
Mississippi,2009,227,240,,,,
Missouri,2009,241,240,,,,
Montana,2009,244,240,,,,
Nebraska,2009,239,240,,,,
Nevada,2009,235,240,,,,
New Hampshire,2009,251,240,,,,
New Jersey,2009,247,240,,,,
New Mexico,2009,230,240,,,,
New York,2009,241,240,,,,
North Carolina,2009,244,240,,,,
North Dakota,2009,245,240,,,,
Ohio,2009,244,240,,,,
Oklahoma,2009,237,240,,,,
Oregon,2009,238,240,,,,
Pennsylvania,2009,244,240,,,,
Rhode Island,2009,239,240,,,,
South Carolina,2009,236,240,,,,
South Dakota,2009,242,240,,,,
Tennessee,2009,232,240,,,,
Texas,2009,240,240,,,,
Utah,2009,240,240,,,,
Vermont,2009,248,240,,,,
Virginia,2009,243,240,,,,
Washington,2009,242,240,,,,
West Virginia,2009,233,240,,,,
Wisconsin,2009,244,240,,,,
Wyoming,2009,242,240,,,,
DoDEA,2011,241,241,,,,
United States,2011,241,241,,,,
Alabama,2011,231,241,,,,
Alaska,2011,236,241,,,,
Arizona,2011,235,241,,,,
Arkansas,2011,238,241,,,,
California,2011,234,241,,,,
Colorado,2011,244,241,,,,
Connecticut,2011,242,241,,,,
Delaware,2011,240,241,,,,
District of Columbia,2011,222,241,,,,
Florida,2011,240,241,,,,
Georgia,2011,238,241,,,,
Hawaii,2011,239,241,,,,
Idaho,2011,240,241,,,,
Illinois,2011,239,241,,,,
Indiana,2011,244,241,,,,
Iowa,2011,243,241,,,,
Kansas,2011,246,241,,,,
Kentucky,2011,241,241,,,,
Louisiana,2011,231,241,,,,
Maine,2011,244,241,,,,
Maryland,2011,247,241,,,,
Massachusetts,2011,253,241,,,,
Michigan,2011,236,241,,,,
Minnesota,2011,249,241,,,,
Mississippi,2011,230,241,,,,
Missouri,2011,240,241,,,,
Montana,2011,244,241,,,,
Nebraska,2011,240,241,,,,
Nevada,2011,237,241,,,,
New Hampshire,2011,252,241,,,,
New Jersey,2011,248,241,,,,
New Mexico,2011,233,241,,,,
New York,2011,238,241,,,,
North Carolina,2011,245,241,,,,
North Dakota,2011,245,241,,,,
Ohio,2011,244,241,,,,
Oklahoma,2011,237,241,,,,
Oregon,2011,237,241,,,,
Pennsylvania,2011,246,241,,,,
Rhode Island,2011,242,241,,,,
South Carolina,2011,237,241,,,,
South Dakota,2011,241,241,,,,
Tennessee,2011,233,241,,,,
Texas,2011,241,241,,,,
Utah,2011,243,241,,,,
Vermont,2011,247,241,,,,
Virginia,2011,245,241,,,,
Washington,2011,243,241,,,,
West Virginia,2011,235,241,,,,
Wisconsin,2011,245,241,,,,
Wyoming,2011,244,241,,,,
DoDEA,2013,245,242,,,,
United States,2013,242,242,,,,
Alabama,2013,233,242,,,,
Alaska,2013,236,242,,,,
Arizona,2013,240,242,,,,
Arkansas,2013,240,242,,,,
California,2013,234,242,,,,
Colorado,2013,247,242,,,,
Connecticut,2013,243,242,,,,
Delaware,2013,243,242,,,,
District of Columbia,2013,229,242,,,,
Florida,2013,242,242,,,,
Georgia,2013,240,242,,,,
Hawaii,2013,243,242,,,,
Idaho,2013,241,242,,,,
Illinois,2013,239,242,,,,
Indiana,2013,249,242,,,,
Iowa,2013,246,242,,,,
Kansas,2013,246,242,,,,
Kentucky,2013,241,242,,,,
Louisiana,2013,231,242,,,,
Maine,2013,246,242,,,,
Maryland,2013,245,242,,,,
Massachusetts,2013,253,242,,,,
Michigan,2013,237,242,,,,
Minnesota,2013,253,242,,,,
Mississippi,2013,231,242,,,,
Missouri,2013,240,242,,,,
Montana,2013,244,242,,,,
Nebraska,2013,243,242,,,,
Nevada,2013,236,242,,,,
New Hampshire,2013,253,242,,,,
New Jersey,2013,247,242,,,,
New Mexico,2013,233,242,,,,
New York,2013,240,242,,,,
North Carolina,2013,245,242,,,,
North Dakota,2013,246,242,,,,
Ohio,2013,246,242,,,,
Oklahoma,2013,239,242,,,,
Oregon,2013,240,242,,,,
Pennsylvania,2013,244,242,,,,
Rhode Island,2013,241,242,,,,
South Carolina,2013,237,242,,,,
South Dakota,2013,241,242,,,,
Tennessee,2013,240,242,,,,
Texas,2013,242,242,,,,
Utah,2013,243,242,,,,
Vermont,2013,248,242,,,,
Virginia,2013,246,242,,,,
Washington,2013,246,242,,,,
West Virginia,2013,237,242,,,,
Wisconsin,2013,245,242,,,,
Wyoming,2013,247,242,,,,
DoDEA,2015,248,240,,,,
United States,2015,240,240,,,,
Alabama,2015,231,240,,,,
Alaska,2015,236,240,,,,
Arizona,2015,238,240,,,,
Arkansas,2015,235,240,,,,
California,2015,232,240,,,,
Colorado,2015,242,240,,,,
Connecticut,2015,240,240,,,,
Delaware,2015,239,240,,,,
District of Columbia,2015,231,240,,,,
Florida,2015,243,240,,,,
Georgia,2015,236,240,,,,
Hawaii,2015,238,240,,,,
Idaho,2015,239,240,,,,
Illinois,2015,237,240,,,,
Indiana,2015,248,240,,,,
Iowa,2015,243,240,,,,
