Year,State,Eligible
2003,Alabama,213
2003,Alaska,220
2003,Arizona,217
2003,Arkansas,221
2003,California,216
2003,Colorado,219
2003,Connecticut,220
2003,Delaware,225
2003,District of Columbia,200
2003,DoDEA,0
2003,Florida,222
2003,Georgia,219
2003,Hawaii,216
2003,Idaho,227
2003,Illinois,216
2003,Indiana,225
2003,Iowa,227
2003,Kansas,231
2003,Kentucky,220
2003,Louisiana,220
2003,Maine,228
2003,Maryland,216
2003,Massachusetts,226
2003,Michigan,220
2003,Minnesota,226
2003,Mississippi,216
2003,Missouri,224
2003,Montana,227
2003,United States,222
2003,Nebraska,222
2003,Nevada,216
2003,New Hampshire,229
2003,New Jersey,221
2003,New Mexico,217
2003,New York,225
2003,North Carolina,229
2003,North Dakota,228
2003,Ohio,224
2003,Oklahoma,223
2003,Oregon,226
2003,Pennsylvania,220
2003,Puerto Rico,0
2003,Rhode Island,217
2003,South Carolina,226
2003,South Dakota,227
2003,Tennessee,216
2003,Texas,229
2003,Utah,225
2003,Vermont,229
2003,Virginia,225
2003,Washington,226
2003,West Virginia,225
2003,Wisconsin,221
2003,Wyoming,233
2005,Alabama,214
2005,Alaska,223
2005,Arizona,220
2005,Arkansas,226
2005,California,219
2005,Colorado,224
2005,Connecticut,223
2005,Delaware,229
2005,District of Columbia,206
2005,DoDEA,0
2005,Florida,229
2005,Georgia,224
2005,Hawaii,220
2005,Idaho,234
2005,Illinois,218
2005,Indiana,231
2005,Iowa,231
2005,Kansas,235
2005,Kentucky,224
2005,Louisiana,224
2005,Maine,230
2005,Maryland,221
2005,Massachusetts,231
2005,Michigan,223
2005,Minnesota,231
2005,Mississippi,221
2005,Missouri,225
2005,Montana,231
2005,United States,225
2005,Nebraska,225
2005,Nevada,219
2005,New Hampshire,232
2005,New Jersey,227
2005,New Mexico,217
2005,New York,228
2005,North Carolina,229
2005,North Dakota,234
2005,Ohio,227
2005,Oklahoma,227
2005,Oregon,230
2005,Pennsylvania,225
2005,Puerto Rico,0
2005,Rhode Island,218
2005,South Carolina,227
2005,South Dakota,232
2005,Tennessee,220
2005,Texas,233
2005,Utah,229
2005,Vermont,230
2005,Virginia,225
2005,Washington,231
2005,West Virginia,225
2005,Wisconsin,225
2005,Wyoming,236
2007,Alabama,217
2007,Alaska,225
2007,Arizona,219
2007,Arkansas,229
2007,California,219
2007,Colorado,225
2007,Connecticut,222
2007,Delaware,232
2007,District of Columbia,207
2007,DoDEA,0
2007,Florida,233
2007,Georgia,224
2007,Hawaii,224
2007,Idaho,232
2007,Illinois,223
2007,Indiana,235
2007,Iowa,231
2007,Kansas,237
2007,Kentucky,226
2007,Louisiana,225
2007,Maine,232
2007,Maryland,225
2007,Massachusetts,237
2007,Michigan,224
2007,Minnesota,232
2007,Mississippi,222
2007,Missouri,228
2007,Montana,234
2007,United States,227
2007,Nebraska,225
2007,Nevada,221
2007,New Hampshire,236
2007,New Jersey,233
2007,New Mexico,221
2007,New York,233
2007,North Carolina,231
2007,North Dakota,235
2007,Ohio,230
2007,Oklahoma,230
2007,Oregon,226
2007,Pennsylvania,227
2007,Puerto Rico,0
2007,Rhode Island,222
2007,South Carolina,226
2007,South Dakota,230
2007,Tennessee,223
2007,Texas,235
2007,Utah,229
2007,Vermont,234
2007,Virginia,230
2007,Washington,230
2007,West Virginia,229
2007,Wisconsin,228
2007,Wyoming,236
2009,Alabama,217
2009,Alaska,226
2009,Arizona,219
2009,Arkansas,229
2009,California,220
2009,Colorado,228
2009,Connecticut,225
2009,Delaware,229
2009,District of Columbia,211
2009,DoDEA,0
2009,Florida,235
2009,Georgia,225
2009,Hawaii,224
2009,Idaho,234
2009,Illinois,224
2009,Indiana,232
2009,Iowa,232
2009,Kansas,236
2009,Kentucky,229
2009,Louisiana,223
2009,Maine,235
2009,Maryland,229
2009,Massachusetts,237
2009,Michigan,222
2009,Minnesota,234
2009,Mississippi,221
2009,Missouri,229
2009,Montana,235
2009,United States,227
2009,Nebraska,227
2009,Nevada,226
2009,New Hampshire,237
2009,New Jersey,229
2009,New Mexico,223
2009,New York,233
2009,North Carolina,232
2009,North Dakota,236
2009,Ohio,230
2009,Oklahoma,231
2009,Oregon,227
2009,Pennsylvania,228
2009,Puerto Rico,0
2009,Rhode Island,224
2009,South Carolina,226
2009,South Dakota,232
2009,Tennessee,222
2009,Texas,233
2009,Utah,227
2009,Vermont,235
2009,Virginia,230
2009,Washington,231
2009,West Virginia,227
2009,Wisconsin,229
2009,Wyoming,234
2011,Alabama,222
2011,Alaska,224
2011,Arizona,227
2011,Arkansas,230
2011,California,222
2011,Colorado,231
2011,Connecticut,223
2011,Delaware,231
2011,District of Columbia,213
2011,DoDEA,0
2011,Florida,232
2011,Georgia,227
2011,Hawaii,228
2011,Idaho,232
2011,Illinois,225
2011,Indiana,235
2011,Iowa,233
2011,Kansas,238
2011,Kentucky,232
2011,Louisiana,224
2011,Maine,235
2011,Maryland,233
2011,Massachusetts,239
2011,Michigan,224
2011,Minnesota,235
2011,Mississippi,224
2011,Missouri,230
2011,Montana,234
2011,United States,229
2011,Nebraska,227
2011,Nevada,229
2011,New Hampshire,241
2011,New Jersey,233
2011,New Mexico,226
2011,New York,229
