State,Year,NAEP,US NAEP
DoDEA,2003,237,234
United States,2003,234,234
Alabama,2003,223,234
Alaska,2003,233,234
Arizona,2003,229,234
Arkansas,2003,229,234
California,2003,227,234
Colorado,2003,235,234
Connecticut,2003,241,234
Delaware,2003,236,234
District of Columbia,2003,205,234
Florida,2003,234,234
Georgia,2003,230,234
Hawaii,2003,227,234
Idaho,2003,235,234
Illinois,2003,233,234
Indiana,2003,238,234
Iowa,2003,238,234
Kansas,2003,242,234
Kentucky,2003,229,234
Louisiana,2003,226,234
Maine,2003,238,234
Maryland,2003,233,234
Massachusetts,2003,242,234
Michigan,2003,236,234
Minnesota,2003,242,234
Mississippi,2003,223,234
Missouri,2003,235,234
Montana,2003,236,234
Nebraska,2003,236,234
Nevada,2003,228,234
New Hampshire,2003,243,234
New Jersey,2003,239,234
New Mexico,2003,223,234
New York,2003,236,234
North Carolina,2003,242,234
North Dakota,2003,238,234
Ohio,2003,238,234
Oklahoma,2003,229,234
Oregon,2003,236,234
Pennsylvania,2003,236,234
Rhode Island,2003,230,234
South Carolina,2003,236,234
South Dakota,2003,237,234
Tennessee,2003,228,234
Texas,2003,237,234
Utah,2003,235,234
Vermont,2003,242,234
Virginia,2003,239,234
Washington,2003,238,234
West Virginia,2003,231,234
Wisconsin,2003,237,234
Wyoming,2003,241,234
DoDEA,2005,239,237
United States,2005,237,237
Alabama,2005,225,237
Alaska,2005,236,237
Arizona,2005,230,237
Arkansas,2005,236,237
California,2005,230,237
Colorado,2005,239,237
Connecticut,2005,242,237
Delaware,2005,240,237
District of Columbia,2005,211,237
Florida,2005,239,237
Georgia,2005,234,237
Hawaii,2005,230,237
Idaho,2005,242,237
Illinois,2005,233,237
Indiana,2005,240,237
Iowa,2005,240,237
Kansas,2005,246,237
Kentucky,2005,231,237
Louisiana,2005,230,237
Maine,2005,241,237
Maryland,2005,238,237
Massachusetts,2005,247,237
Michigan,2005,238,237
Minnesota,2005,246,237
Mississippi,2005,227,237
Missouri,2005,235,237
Montana,2005,241,237
Nebraska,2005,238,237
Nevada,2005,230,237
New Hampshire,2005,246,237
New Jersey,2005,244,237
New Mexico,2005,224,237
New York,2005,238,237
North Carolina,2005,241,237
North Dakota,2005,243,237
Ohio,2005,242,237
Oklahoma,2005,234,237
Oregon,2005,238,237
Pennsylvania,2005,241,237
Rhode Island,2005,233,237
South Carolina,2005,238,237
South Dakota,2005,242,237
Tennessee,2005,232,237
Texas,2005,242,237
Utah,2005,239,237
Vermont,2005,244,237
Virginia,2005,240,237
Washington,2005,242,237
West Virginia,2005,231,237
Wisconsin,2005,241,237
Wyoming,2005,243,237
DoDEA,2007,240,239
United States,2007,239,239
Alabama,2007,229,239
Alaska,2007,237,239
Arizona,2007,232,239
Arkansas,2007,238,239
California,2007,230,239
Colorado,2007,240,239
Connecticut,2007,243,239
Delaware,2007,242,239
District of Columbia,2007,214,239
Florida,2007,242,239
Georgia,2007,235,239
Hawaii,2007,234,239
Idaho,2007,241,239
Illinois,2007,237,239
Indiana,2007,245,239
Iowa,2007,243,239
Kansas,2007,248,239
Kentucky,2007,235,239
Louisiana,2007,230,239
Maine,2007,242,239
Maryland,2007,240,239
Massachusetts,2007,252,239
Michigan,2007,238,239
Minnesota,2007,247,239
Mississippi,2007,228,239
Missouri,2007,239,239
Montana,2007,244,239
Nebraska,2007,238,239
Nevada,2007,232,239
New Hampshire,2007,249,239
New Jersey,2007,249,239
New Mexico,2007,228,239
New York,2007,243,239
North Carolina,2007,242,239
North Dakota,2007,245,239
Ohio,2007,245,239
Oklahoma,2007,237,239
Oregon,2007,236,239
Pennsylvania,2007,244,239
Rhode Island,2007,236,239
South Carolina,2007,237,239
South Dakota,2007,241,239
Tennessee,2007,233,239
Texas,2007,242,239
Utah,2007,239,239
Vermont,2007,246,239
Virginia,2007,244,239
Washington,2007,243,239
West Virginia,2007,236,239
Wisconsin,2007,244,239
Wyoming,2007,244,239
DoDEA,2009,240,239
United States,2009,239,239
Alabama,2009,228,239
Alaska,2009,237,239
Arizona,2009,230,239
Arkansas,2009,238,239
California,2009,232,239
Colorado,2009,243,239
Connecticut,2009,245,239
Delaware,2009,239,239
District of Columbia,2009,219,239
Florida,2009,242,239
Georgia,2009,236,239
Hawaii,2009,236,239
Idaho,2009,241,239
Illinois,2009,238,239
Indiana,2009,243,239
Iowa,2009,243,239
Kansas,2009,245,239
Kentucky,2009,239,239
Louisiana,2009,229,239
Maine,2009,244,239
Maryland,2009,244,239
Massachusetts,2009,252,239
Michigan,2009,236,239
Minnesota,2009,249,239
Mississippi,2009,227,239
Missouri,2009,241,239
Montana,2009,244,239
Nebraska,2009,239,239
Nevada,2009,235,239
New Hampshire,2009,251,239
New Jersey,2009,247,239
New Mexico,2009,230,239
New York,2009,241,239
North Carolina,2009,244,239
North Dakota,2009,245,239
Ohio,2009,244,239
Oklahoma,2009,237,239
Oregon,2009,238,239
Pennsylvania,2009,244,239
Rhode Island,2009,239,239
South Carolina,2009,236,239
South Dakota,2009,242,239
Tennessee,2009,232,239
Texas,2009,240,239
Utah,2009,240,239
Vermont,2009,248,239
Virginia,2009,243,239
Washington,2009,242,239
West Virginia,2009,233,239
Wisconsin,2009,244,239
Wyoming,2009,242,239
DoDEA,2011,241,240
United States,2011,240,240
Alabama,2011,231,240
Alaska,2011,236,240
Arizona,2011,235,240
Arkansas,2011,238,240
California,2011,234,240
Colorado,2011,244,240
Connecticut,2011,242,240
Delaware,2011,240,240
District of Columbia,2011,222,240
Florida,2011,240,240
Georgia,2011,238,240
Hawaii,2011,239,240
Idaho,2011,240,240
Illinois,2011,239,240
Indiana,2011,244,240
Iowa,2011,243,240
Kansas,2011,246,240
Kentucky,2011,241,240
Louisiana,2011,231,240
Maine,2011,244,240
Maryland,2011,247,240
Massachusetts,2011,253,240
Michigan,2011,236,240
Minnesota,2011,249,240
Mississippi,2011,230,240
Missouri,2011,240,240
Montana,2011,244,240
Nebraska,2011,240,240
Nevada,2011,237,240
New Hampshire,2011,252,240
New Jersey,2011,248,240
New Mexico,2011,233,240
New York,2011,238,240
North Carolina,2011,245,240
North Dakota,2011,245,240
Ohio,2011,244,240
Oklahoma,2011,237,240
Oregon,2011,237,240
Pennsylvania,2011,246,240
Rhode Island,2011,242,240
South Carolina,2011,237,240
South Dakota,2011,241,240
Tennessee,2011,233,240
Texas,2011,241,240
Utah,2011,243,240
Vermont,2011,247,240
Virginia,2011,245,240
Washington,2011,243,240
West Virginia,2011,235,240
Wisconsin,2011,245,240
Wyoming,2011,244,240
DoDEA,2013,245,241
United States,2013,241,241
Alabama,2013,233,241
Alaska,2013,236,241
Arizona,2013,240,241
Arkansas,2013,240,241
California,2013,234,241
Colorado,2013,247,241
Connecticut,2013,243,241
Delaware,2013,243,241
District of Columbia,2013,229,241
Florida,2013,242,241
Georgia,2013,240,241
Hawaii,2013,243,241
Idaho,2013,241,241
Illinois,2013,239,241
Indiana,2013,249,241
Iowa,2013,246,241
Kansas,2013,246,241
Kentucky,2013,241,241
Louisiana,2013,231,241
Maine,2013,246,241
Maryland,2013,245,241
Massachusetts,2013,253,241
Michigan,2013,237,241
Minnesota,2013,253,241
Mississippi,2013,231,241
Missouri,2013,240,241
Montana,2013,244,241
Nebraska,2013,243,241
Nevada,2013,236,241
New Hampshire,2013,253,241
New Jersey,2013,247,241
New Mexico,2013,233,241
New York,2013,240,241
North Carolina,2013,245,241
North Dakota,2013,246,241
Ohio,2013,246,241
Oklahoma,2013,239,241
Oregon,2013,240,241
Pennsylvania,2013,244,241
Rhode Island,2013,241,241
South Carolina,2013,237,241
South Dakota,2013,241,241
Tennessee,2013,240,241
Texas,2013,242,241
Utah,2013,243,241
Vermont,2013,248,241
Virginia,2013,246,241
Washington,2013,246,241
West Virginia,2013,237,241
Wisconsin,2013,245,241
Wyoming,2013,247,241
DoDEA,2015,248,240
United States,2015,240,240
Alabama,2015,231,240
Alaska,2015,236,240
Arizona,2015,238,240
Arkansas,2015,235,240
California,2015,232,240
Colorado,2015,242,240
Connecticut,2015,240,240
Delaware,2015,239,240
District of Columbia,2015,231,240
Florida,2015,243,240
Georgia,2015,236,240
Hawaii,2015,238,240
Idaho,2015,239,240
Illinois,2015,237,240
Indiana,2015,248,240
Iowa,2015,243,240
Kansas,2015,241,240
Kentucky,2015,242,240
Louisiana,2015,234,240
Maine,2015,242,240
Maryland,2015,239,240
Massachusetts,2015,251,240
Michigan,2015,236,240
Minnesota,2015,250,240
Mississippi,2015,234,240
Missouri,2015,239,240
Montana,2015,241,240
Nebraska,2015,244,240
Nevada,2015,234,240
New Hampshire,2015,249,240
New Jersey,2015,245,240
New Mexico,2015,231,240
New York,2015,237,240
North Carolina,2015,244,240
North Dakota,2015,245,240
Ohio,2015,244,240
Oklahoma,2015,240,240
Oregon,2015,238,240
Pennsylvania,2015,243,240
Rhode Island,2015,238,240
South Carolina,2015,237,240
South Dakota,2015,240,240
Tennessee,2015,241,240
Texas,2015,244,240
Utah,2015,243,240
Vermont,2015,243,240
Virginia,2015,247,240
Washington,2015,245,240
West Virginia,2015,235,240
Wisconsin,2015,243,240
Wyoming,2015,247,240
DoDEA,2017,249,239
United States,2017,239,239
Alabama,2017,232,239
Alaska,2017,230,239
Arizona,2017,234,239
Arkansas,2017,234,239
California,2017,232,239
Colorado,2017,241,239
Connecticut,2017,239,239
Delaware,2017,236,239
District of Columbia,2017,231,239
Florida,2017,246,239
Georgia,2017,236,239
Hawaii,2017,238,239
Idaho,2017,240,239
Illinois,2017,238,239
Indiana,2017,247,239
Iowa,2017,243,239
Kansas,2017,241,239
Kentucky,2017,239,239
Louisiana,2017,229,239
Maine,2017,240,239
Maryland,2017,241,239
Massachusetts,2017,249,239
Michigan,2017,236,239
Minnesota,2017,249,239
Mississippi,2017,235,239
Missouri,2017,240,239
Montana,2017,241,239
Nebraska,2017,246,239
Nevada,2017,232,239
New Hampshire,2017,245,239
New Jersey,2017,248,239
New Mexico,2017,230,239
New York,2017,236,239
North Carolina,2017,241,239
North Dakota,2017,244,239
Ohio,2017,241,239
Oklahoma,2017,237,239
Oregon,2017,233,239
Pennsylvania,2017,242,239
Rhode Island,2017,238,239
South Carolina,2017,234,239
South Dakota,2017,242,239
