Year,State,Eligible
2002,Alabama,195
2002,Alaska,0
2002,Arizona,191
2002,Arkansas,202
2002,California,190
2002,Colorado,0
2002,Connecticut,209
2002,Delaware,211
2002,District of Columbia,185
2002,DoDEA,0
2002,Florida,204
2002,Georgia,202
2002,Hawaii,196
2002,Idaho,210
2002,Illinois,0
2002,Indiana,207
2002,Iowa,213
2002,Kansas,211
2002,Kentucky,209
2002,Louisiana,197
2002,Maine,213
2002,Maryland,202
2002,Massachusetts,215
2002,Michigan,204
2002,Minnesota,218
2002,Mississippi,195
2002,Missouri,205
2002,Montana,213
2002,Nebraska,209
2002,Nevada,198
2002,New Hampshire,0
2002,New Jersey,0
2002,New Mexico,201
2002,New York,207
2002,North Carolina,208
2002,North Dakota,214
2002,Ohio,207
2002,Oklahoma,203
2002,Oregon,207
2002,Pennsylvania,200
2002,Rhode Island,202
2002,South Carolina,201
2002,South Dakota,0
2002,Tennessee,202
2002,Texas,210
2002,United States,203
2002,Utah,211
2002,Vermont,213
2002,Virginia,209
2002,Washington,211
2002,West Virginia,210
2002,Wisconsin,0
2002,Wyoming,212
2003,Alabama,193
2003,Alaska,192
2003,Arizona,194
2003,Arkansas,204
2003,California,191
2003,Colorado,207
2003,Connecticut,205
2003,Delaware,212
2003,District of Columbia,182
2003,DoDEA,0
2003,Florida,205
2003,Georgia,200
2003,Hawaii,197
2003,Idaho,207
2003,Illinois,197
2003,Indiana,205
2003,Iowa,209
2003,Kansas,206
2003,Kentucky,209
2003,Louisiana,195
2003,Maine,213
2003,Maryland,199
2003,Massachusetts,210
2003,Michigan,201
2003,Minnesota,203
2003,Mississippi,197
2003,Missouri,208
2003,Montana,208
2003,Nebraska,207
2003,Nevada,192
2003,New Hampshire,206
2003,New Jersey,203
2003,New Mexico,195
2003,New York,208
2003,North Carolina,206
2003,North Dakota,210
2003,Ohio,206
2003,Oklahoma,204
2003,Oregon,205
2003,Pennsylvania,198
2003,Rhode Island,200
2003,South Carolina,202
2003,South Dakota,210
2003,Tennessee,198
2003,Texas,205
2003,United States,201
2003,Utah,206
2003,Vermont,214
2003,Virginia,205
2003,Washington,208
2003,West Virginia,212
2003,Wisconsin,205
2003,Wyoming,212
2005,Alabama,196
2005,Alaska,193
2005,Arizona,192
2005,Arkansas,206
2005,California,193
2005,Colorado,208
2005,Connecticut,202
2005,Delaware,214
2005,District of Columbia,183
2005,DoDEA,0
2005,Florida,209
2005,Georgia,201
2005,Hawaii,197
2005,Idaho,210
2005,Illinois,198
2005,Indiana,207
2005,Iowa,208
2005,Kansas,208
2005,Kentucky,212
2005,Louisiana,200
2005,Maine,213
2005,Maryland,198
2005,Massachusetts,211
2005,Michigan,201
2005,Minnesota,209
2005,Mississippi,196
2005,Missouri,209
2005,Montana,212
2005,Nebraska,205
2005,Nevada,192
2005,New Hampshire,213
2005,New Jersey,203
2005,New Mexico,199
2005,New York,210
2005,North Carolina,202
2005,North Dakota,214
2005,Ohio,206
2005,Oklahoma,205
2005,Oregon,204
2005,Pennsylvania,205
2005,Rhode Island,197
2005,South Carolina,200
2005,South Dakota,210
2005,Tennessee,200
2005,Texas,208
2005,United States,203
2005,Utah,208
2005,Vermont,210
2005,Virginia,209
2005,Washington,213
2005,West Virginia,206
2005,Wisconsin,204
2005,Wyoming,216
2007,Alabama,203
2007,Alaska,197
2007,Arizona,196
2007,Arkansas,205
2007,California,195
2007,Colorado,206
2007,Connecticut,201
2007,Delaware,214
2007,District of Columbia,188
2007,DoDEA,0
2007,Florida,213
2007,Georgia,207
2007,Hawaii,203
2007,Idaho,212
2007,Illinois,204
2007,Indiana,209
2007,Iowa,212
2007,Kansas,212
2007,Kentucky,212
2007,Louisiana,200
2007,Maine,213
2007,Maryland,207
2007,Massachusetts,214
2007,Michigan,204
2007,Minnesota,206
2007,Mississippi,200
2007,Missouri,208
2007,Montana,215
2007,Nebraska,208
2007,Nevada,197
2007,New Hampshire,212
2007,New Jersey,210
2007,New Mexico,203
2007,New York,209
2007,North Carolina,205
2007,North Dakota,215
2007,Ohio,211
2007,Oklahoma,209
2007,Oregon,200
2007,Pennsylvania,207
2007,Rhode Island,202
2007,South Carolina,201
2007,South Dakota,209
2007,Tennessee,202
2007,Texas,209
2007,United States,205
2007,Utah,208
2007,Vermont,212
2007,Virginia,213
2007,Washington,210
2007,West Virginia,206
2007,Wisconsin,205
2007,Wyoming,214
2009,Alabama,204
2009,Alaska,194
2009,Arizona,197
2009,Arkansas,207
2009,California,196
