State,Year,NAEP,US NAEP
DoDEA,2003,272,263
United States,2003,263,263
Alabama,2003,253,263
Alaska,2003,256,263
Arizona,2003,255,263
Arkansas,2003,258,263
California,2003,251,263
Colorado,2003,268,263
Connecticut,2003,267,263
Delaware,2003,265,263
District of Columbia,2003,239,263
Florida,2003,257,263
Georgia,2003,258,263
Hawaii,2003,251,263
Idaho,2003,264,263
Illinois,2003,266,263
Indiana,2003,265,263
Iowa,2003,268,263
Kansas,2003,266,263
Kentucky,2003,266,263
Louisiana,2003,253,263
Maine,2003,268,263
Maryland,2003,262,263
Massachusetts,2003,273,263
Michigan,2003,264,263
Minnesota,2003,268,263
Mississippi,2003,255,263
Missouri,2003,267,263
Montana,2003,270,263
Nebraska,2003,266,263
Nevada,2003,252,263
New Hampshire,2003,271,263
New Jersey,2003,268,263
New Mexico,2003,252,263
New York,2003,265,263
North Carolina,2003,262,263
North Dakota,2003,270,263
Ohio,2003,267,263
Oklahoma,2003,262,263
Oregon,2003,264,263
Pennsylvania,2003,264,263
Rhode Island,2003,261,263
South Carolina,2003,258,263
South Dakota,2003,270,263
Tennessee,2003,258,263
Texas,2003,259,263
Utah,2003,264,263
Vermont,2003,271,263
Virginia,2003,268,263
Washington,2003,264,263
West Virginia,2003,260,263
Wisconsin,2003,266,263
Wyoming,2003,267,263
DoDEA,2005,271,262
United States,2005,262,262
Alabama,2005,252,262
Alaska,2005,259,262
Arizona,2005,255,262
Arkansas,2005,258,262
California,2005,250,262
Colorado,2005,265,262
Connecticut,2005,264,262
Delaware,2005,266,262
District of Columbia,2005,238,262
Florida,2005,256,262
Georgia,2005,257,262
Hawaii,2005,249,262
Idaho,2005,264,262
Illinois,2005,264,262
Indiana,2005,261,262
Iowa,2005,267,262
Kansas,2005,267,262
Kentucky,2005,264,262
Louisiana,2005,253,262
Maine,2005,270,262
Maryland,2005,261,262
Massachusetts,2005,274,262
Michigan,2005,261,262
Minnesota,2005,268,262
Mississippi,2005,251,262
Missouri,2005,265,262
Montana,2005,269,262
Nebraska,2005,267,262
Nevada,2005,253,262
New Hampshire,2005,270,262
New Jersey,2005,269,262
New Mexico,2005,251,262
New York,2005,265,262
North Carolina,2005,258,262
North Dakota,2005,270,262
Ohio,2005,267,262
Oklahoma,2005,260,262
Oregon,2005,263,262
Pennsylvania,2005,267,262
Rhode Island,2005,261,262
South Carolina,2005,257,262
South Dakota,2005,269,262
Tennessee,2005,259,262
Texas,2005,258,262
Utah,2005,262,262
Vermont,2005,269,262
Virginia,2005,268,262
Washington,2005,265,262
West Virginia,2005,255,262
Wisconsin,2005,266,262
Wyoming,2005,268,262
DoDEA,2007,273,263
United States,2007,263,263
Alabama,2007,252,263
Alaska,2007,259,263
Arizona,2007,255,263
Arkansas,2007,258,263
California,2007,251,263
Colorado,2007,266,263
Connecticut,2007,267,263
Delaware,2007,265,263
