State,Total Revenue - Per Pupil 2020,Total Revenue - Per Pupil 2002,Total Revenue - Per Pupil Percent Change,Enrollment (2002),Enrollment (2020),Enrollment Percent Change
New York,30723.46,18053.70248,0.701781672,2846068,2531420,-0.110555335
New Hampshire,20130.73,12939.42827,0.555766575,203072,168325,-0.1711068
Illinois,20196.8,13053.53319,0.547228609,2053395,1924972,-0.062541791
North Dakota,16624.06,10991.8904,0.512393173,105936,116129,0.096218472
Washington,17685.06,11776.22813,0.50175929,1009200,1136285,0.125926476
Pennsylvania,21523.73,14434.89291,0.491090383,1773869,1566855,-0.116701966
Vermont,23575.04,15875.02346,0.485039695,97492,86095,-0.1169019
Connecticut,24874.65,17158.04675,0.449736695,549450,483151,-0.120664301
California,16934.19,12471.36996,0.357845213,6140537,5641492,-0.081270579
Delaware,20032.22,14896.4821,0.344761794,111331,123566,0.109897513
Alaska,19782.95,14957.49112,0.322611515,133010,132017,-0.007465604
Louisiana,13752.79,10411.43109,0.320931761,725027,637629,-0.120544476
Maryland,18580.92,14135.47942,0.314488137,860640,909003,0.056194228
Rhode Island,19574.23,14992.56589,0.305595729,156624,132629,-0.153201297
Wyoming,19384.14,14902.67686,0.300715313,87897,94234,0.072095748
Maine,17583.78,13520.7251,0.300505696,209337,177350,-0.152801464
Colorado,14495.98,11321.70011,0.28037131,741829,891187,0.201337505
Oregon,15844.13,12425.99946,0.275078922,550118,580545,0.055309952
Hawaii,18756.38,14785.38071,0.26857606,184546,181088,-0.018737876
New Jersey,24010.01,18968.53454,0.265780967,1329963,1350553,0.015481634
Massachusetts,21132.03,16754.59302,0.261267879,959021,897905,-0.063727489
New Mexico,14394.16,11437.46562,0.258509575,320260,315372,-0.015262599
United States,16062.11,12851.58972,0.249815031,47168335,48008047,0.017802452
Minnesota,16761.89,13421.3923,0.248893529,840445,823690,-0.019935867
Kentucky,12715.18,10194.2823,0.247285451,654363,691816,0.057235816
Montana,13769.47,11050.99334,0.245993874,151751,148547,-0.021113535
Kansas,14588.47,11717.51507,0.245013973,470174,497255,0.057597825
Mississippi,10773.54,8878.176954,0.213485613,492198,463305,-0.058701986
Iowa,14310.07,12016.66865,0.190851676,485932,517324,0.064601632
South Carolina,14323.73,12038.11206,0.189865149,673916,754652,0.119801281
Tennessee,10971.38,9267.65276,0.183835895,897702,1013083,0.128529289
South Dakota,12410.44,10532.72713,0.17827414,127129,139685,0.098765821
Arkansas,11828.05,10081.3037,0.173265914,449161,476465,0.060788893
Nebraska,14717.12,12544.59522,0.173184128,284573,329290,0.157137184
Utah,10026.57,8606.531586,0.164995434,480526,606880,0.262949351
Texas,13345.9,11473.34903,0.163208751,4112315,5162293,0.255325285
Virginia,13998.09,12129.44509,0.154058566,1162045,1296817,0.115978297
Alabama,11729.18,10192.07298,0.150813973,726367,743012,0.022915413
Ohio,16064.04,14008.10413,0.146767603,1796677,1576931,-0.122306903
West Virginia,14162.86,12350.73816,0.146721744,282145,263486,-0.066132662
Nevada,11755.14,10472.05023,0.122525173,356814,447293,0.253574692
Michigan,15967.41,14518.44278,0.099801834,1729527,1299608,-0.248576056
Oklahoma,10956.11,10140.69544,0.080410122,621573,657468,0.057748647
Florida,11526.14,10707.20571,0.076484408,2500179,2838569,0.135346309
Wisconsin,15014.71,14090.75872,0.065571436,875592,845833,-0.033987291
Georgia,13604.82,12802.73918,0.062649157,1470634,1735585,0.180161073
Missouri,12402.1,11702.07871,0.059820252,912765,885375,-0.030007724
Arizona,10790.4,10353.41115,0.042207234,859533,936332,0.089349682
Idaho,9802.01,9517.999121,0.029839347,246415,289262,0.17388146
Indiana,13368.37,13116.43385,0.019207672,994657,997869,0.003229254
North Carolina,10790.19,10805.9609,-0.001459463,1296156,1441549,0.112172455
