Year,State,Format,Total Salary,Total Benefits
2002,Alabama,Per Student - Inflation Adjusted,5573.798484368793,1621.0204847622035
2002,Alaska,Per Student - Inflation Adjusted,8263.89915521723,2365.850365881038
2002,Arizona,Per Student - Inflation Adjusted,5338.556368215423,1018.3813296738293
2002,Arkansas,Per Student - Inflation Adjusted,5792.578995193156,1301.5209413327368
2002,California,Per Student - Inflation Adjusted,7134.21426951184,1791.3836599127435
2002,Colorado,Per Student - Inflation Adjusted,6528.2394733436395,1213.3502727898315
2002,Connecticut,Per Student - Inflation Adjusted,9565.968816727602,2599.5185215248794
2002,Delaware,Per Student - Inflation Adjusted,8098.041261525155,2591.8075590286608
2002,Florida,Per Student - Inflation Adjusted,5728.11881432589,1514.5254502872729
2002,Georgia,Per Student - Inflation Adjusted,7035.054757411588,2061.599467387914
2002,Hawaii,Per Student - Inflation Adjusted,7239.82846370162,1392.2041706890168
2002,Idaho,Per Student - Inflation Adjusted,5469.671610660492,1652.2830948826409
2002,Illinois,Per Student - Inflation Adjusted,7345.124977788562,2024.3298153228568
2002,Indiana,Per Student - Inflation Adjusted,6734.601580147876,2695.8766727182638
2002,Iowa,Per Student - Inflation Adjusted,7166.935320104409,1914.8745798896396
2002,Kansas,Per Student - Inflation Adjusted,6530.232193988729,1363.959521545564
2002,Kentucky,Per Student - Inflation Adjusted,6298.989959130216,1610.407081326397
2002,Louisiana,Per Student - Inflation Adjusted,6148.120790290342,1634.2186490347578
2002,Maine,Per Student - Inflation Adjusted,7454.998973357342,2791.469503663897
2002,Maryland,Per Student - Inflation Adjusted,8000.744510027923,2356.9986430155286
2002,Massachusetts,Per Student - Inflation Adjusted,9224.679306244212,2575.201553652909
2002,Michigan,Per Student - Inflation Adjusted,7709.157495634394,2775.70101855927
2002,Minnesota,Per Student - Inflation Adjusted,7524.686435916802,1920.4917417080462
2002,Mississippi,Per Student - Inflation Adjusted,4942.149359889214,1315.1956257595516
2002,Missouri,Per Student - Inflation Adjusted,6789.531357929927,1473.0970768759403
2002,Montana,Per Student - Inflation Adjusted,6083.5595293903525,1658.5933769254264
2002,Nebraska,Per Student - Inflation Adjusted,6654.242954133911,1818.747468771048
2002,Nevada,Per Student - Inflation Adjusted,5679.9902787455585,1622.6955253044534
2002,New Hampshire,Per Student - Inflation Adjusted,6973.612537521306,1918.8889011891692
2002,New Jersey,Per Student - Inflation Adjusted,10704.808665396666,2678.880787216299
2002,New Mexico,Per Student - Inflation Adjusted,6146.1569496546,1578.7401510750717
2002,New York,Per Student - Inflation Adjusted,10960.512268173898,2928.6784280816314
2002,North Carolina,Per Student - Inflation Adjusted,6640.438309665025,1305.8962627491305
2002,North Dakota,Per Student - Inflation Adjusted,6090.562931657518,1632.8179685813247
2002,Ohio,Per Student - Inflation Adjusted,7503.300788993768,2240.4100452730754
2002,Oklahoma,Per Student - Inflation Adjusted,5507.461102893833,1248.7860442612184
2002,Oregon,Per Student - Inflation Adjusted,6483.7209389319505,2629.741451308748
2002,Pennsylvania,Per Student - Inflation Adjusted,8014.144834365922,2067.6787093559064
2002,Rhode Island,Per Student - Inflation Adjusted,8671.930367306466,2731.355764203675
2002,South Carolina,Per Student - Inflation Adjusted,6536.990116176427,1824.5234706408748
2002,South Dakota,Per Student - Inflation Adjusted,5802.744758484051,1388.6663695437478
2002,Tennessee,Per Student - Inflation Adjusted,5754.038622716736,1272.9586120864435
2002,Texas,Per Student - Inflation Adjusted,6746.500143999719,1044.2144980366295
2002,United States,Per Student - Inflation Adjusted,7253.618668165832,1907.1058573747227
2002,Utah,Per Student - Inflation Adjusted,4472.127207732062,1523.853693307043
2002,Vermont,Per Student - Inflation Adjusted,8754.541634049663,2447.2197922222226
2002,Virginia,Per Student - Inflation Adjusted,7491.748785254114,1872.0599660295488
2002,Washington,Per Student - Inflation Adjusted,6600.959336884759,1597.1222770257955
2002,West Virginia,Per Student - Inflation Adjusted,6826.62772993889,2900.2749388867583
2002,Wisconsin,Per Student - Inflation Adjusted,7306.180285181256,2989.514167775582
2002,Wyoming,Per Student - Inflation Adjusted,7871.809708288715,2503.449170424986
2002,Alabama,Total - Inflation Adjusted,4048622086.633559,1177455309.169793
2002,Alaska,Total - Inflation Adjusted,1099181819.8308358,314682357.8700313
2002,Arizona,Total - Inflation Adjusted,4588668153.459088,875335755.3666348
2002,Arkansas,Total - Inflation Adjusted,2601798598.2629933,584592037.2461005
2002,California,Total - Inflation Adjusted,43807871025.631355,11000054776.974731
2002,Colorado,Total - Inflation Adjusted,4842839671.740347,900103251.384452
2002,Connecticut,Total - Inflation Adjusted,5256024521.497936,1428304182.375434
2002,Delaware,Total - Inflation Adjusted,901563135.8570507,288548837.41000015
2002,Florida,Total - Inflation Adjusted,14321313612.14381,3786582209.8051286
2002,Georgia,Total - Inflation Adjusted,10346000541.242094,3031858037.4832816
2002,Hawaii,Total - Inflation Adjusted,1336081648.5208452,256925227.17269868
2002,Idaho,Total - Inflation Adjusted,1347809820.3175282,407148927.8036204
2002,Illinois,Total - Inflation Adjusted,15082440482.53836,4156757505.6395206
2002,Indiana,Total - Inflation Adjusted,6698622864.500724,2681474212.055851
2002,Iowa,Total - Inflation Adjusted,3482641771.4125075,930499461.2244152
2002,Kansas,Total - Inflation Adjusted,3070342093.9414697,641297935.6031247
2002,Kentucky,Total - Inflation Adjusted,4121827134.3317432,1053786777.1353998
2002,Louisiana,Total - Inflation Adjusted,4457557243.015424,1184855811.5655086
2002,Maine,Total - Inflation Adjusted,1560607837.2052183,584356665.1699051
2002,Maryland,Total - Inflation Adjusted,6885759549.081241,2028530412.682688
2002,Massachusetts,Total - Inflation Adjusted,8846661643.871063,2469666779.4888363
2002,Michigan,Total - Inflation Adjusted,13333205752.270214,4800644534.080795
2002,Minnesota,Total - Inflation Adjusted,6324079467.252276,1614069066.5118673
2002,Mississippi,Total - Inflation Adjusted,2432515535.462111,647338189.558496
2002,Missouri,Total - Inflation Adjusted,6197242798.192284,1344588255.2746325
2002,Montana,Total - Inflation Adjusted,923185598.8567472,251692169.47863564
2002,Nebraska,Total - Inflation Adjusted,1893618893.008677,517567311.5486309
2002,Nevada,Total - Inflation Adjusted,2026699420.089953,578997979.4351733
2002,New Hampshire,Total - Inflation Adjusted,1416144254.4389813,389672190.1459921
2002,New Jersey,Total - Inflation Adjusted,14236995536.84808,3562817009.3671055
2002,New Mexico,Total - Inflation Adjusted,1968369021.20704,505605211.6762197
2002,New York,Total - Inflation Adjusted,31194366658.345295,8335232778.30959
2002,North Carolina,Total - Inflation Adjusted,8607038430.299429,1692650127.9503925
2002,North Dakota,Total - Inflation Adjusted,645209732.8694649,172973927.99570176
2002,Ohio,Total - Inflation Adjusted,13481002088.115337,4025294259.081796
2002,Oklahoma,Total - Inflation Adjusted,3423284688.197233,776213787.2785381
2002,Oregon,Total - Inflation Adjusted,3566811114.6600904,1446667536.3200808
2002,Pennsylvania,Total - Inflation Adjusted,14216050310.067621,3667781403.3465323
2002,Rhode Island,Total - Inflation Adjusted,1358232615.6916306,427795246.487316
2002,South Carolina,Total - Inflation Adjusted,4405386950.12668,1229579394.043577
2002,South Dakota,Total - Inflation Adjusted,737697962.8100657,176539165.14985234
2002,Tennessee,Total - Inflation Adjusted,5165410604.164094,1142735761.9302645
2002,Texas,Total - Inflation Adjusted,27743728269.29303,4294129602.110078
2002,United States,Total - Inflation Adjusted,342141311919.1363,89955097896.56685
2002,Utah,Total - Inflation Adjusted,2148974491.67325,732248305.0458843
2002,Vermont,Total - Inflation Adjusted,853498136.2972873,238584977.2355313
2002,Virginia,Total - Inflation Adjusted,8705757522.257107,2175421360.2347198
2002,Washington,Total - Inflation Adjusted,6661681000.54178,1611809205.7802975
2002,West Virginia,Total - Inflation Adjusted,1926100239.5236478,818296292.9016284
2002,Wisconsin,Total - Inflation Adjusted,6397233974.9341,2617594519.376502
2002,Wyoming,Total - Inflation Adjusted,691908707.9870142,220045455.23385486
2003,Alabama,Per Student - Inflation Adjusted,5693.462086779834,1617.2896695771747
2003,Alaska,Per Student - Inflation Adjusted,8351.955803862165,2396.9423108970864
2003,Arizona,Per Student - Inflation Adjusted,5305.557276018387,1041.684424979784
2003,Arkansas,Per Student - Inflation Adjusted,5902.722991976986,1313.6204618665286
2003,California,Per Student - Inflation Adjusted,7180.032568261399,2005.773759058025
2003,Colorado,Per Student - Inflation Adjusted,6806.383665496977,1305.5105597948816
2003,Connecticut,Per Student - Inflation Adjusted,9535.831961331593,2613.4936507091675
2003,Delaware,Per Student - Inflation Adjusted,8209.679298876998,2806.4782367660096
2003,Florida,Per Student - Inflation Adjusted,5764.063446800776,1517.0320648726315
2003,Georgia,Per Student - Inflation Adjusted,7319.398550900298,2034.4692487923721
2003,Hawaii,Per Student - Inflation Adjusted,7403.634153951099,2084.456763652106
2003,Idaho,Per Student - Inflation Adjusted,5417.725416343833,1657.0762274757078
2003,Illinois,Per Student - Inflation Adjusted,7454.907384992924,2151.116202631254
2003,Indiana,Per Student - Inflation Adjusted,6694.498100156606,2910.3386725302566
2003,Iowa,Per Student - Inflation Adjusted,7114.41865672703,2020.3970145356466
