Year,State,Total Salary - Per Pupil Percent Change,Total Benefits - Per Pupil Percent Change,Total Salary,Total Benefits
2003,Alabama,0.02146895025836093,-0.0023015225409542817,0.02146895025836093,-0.0023015225409542817
2004,Alabama,-0.002732056966387786,0.08475935872024132,-0.002732056966387786,0.08475935872024132
2005,Alabama,-4.3312542066376025e-4,0.22664813992583466,-4.3312542066376025e-4,0.22664813992583466
2006,Alabama,0.02720168917849941,0.3501356907348858,0.02720168917849941,0.3501356907348858
2007,Alabama,0.09944110500342496,0.4881507008032282,0.09944110500342496,0.4881507008032282
2008,Alabama,0.12375796750784307,0.6400660675322132,0.12375796750784307,0.6400660675322132
2009,Alabama,0.09855637589470057,0.5837646425649798,0.09855637589470057,0.5837646425649798
2010,Alabama,0.09200761337609031,0.5599955385272788,0.09200761337609031,0.5599955385272788
2011,Alabama,0.061723189136912104,0.5103670439857537,0.061723189136912104,0.5103670439857537
2012,Alabama,0.01332822639946607,0.3111485329759063,0.01332822639946607,0.3111485329759063
2013,Alabama,0.006283357655767485,0.2919409411824738,0.006283357655767485,0.2919409411824738
2014,Alabama,0.00771310775853018,0.3392539800993819,0.00771310775853018,0.3392539800993819
2015,Alabama,0.0023305567765310453,0.3901399276534092,0.0023305567765310453,0.3901399276534092
2016,Alabama,-0.0010206886406999294,0.38885189634736594,-0.0010206886406999294,0.38885189634736594
2017,Alabama,0.01749814978125075,0.41177733400837613,0.01749814978125075,0.41177733400837613
2018,Alabama,0.007650302096025463,0.39976794677254923,0.007650302096025463,0.39976794677254923
2019,Alabama,0.02651527835265477,0.40926056722840265,0.02651527835265477,0.40926056722840265
2020,Alabama,0.03984921885032233,0.4071259564215868,0.03984921885032233,0.4071259564215868
2003,Alaska,0.010655581220318178,0.013141974431028602,0.010655581220318178,0.013141974431028602
2004,Alaska,-0.007841321729891049,0.055134781796954746,-0.007841321729891049,0.055134781796954746
2005,Alaska,-0.013524101456718784,0.2397190946013974,-0.013524101456718784,0.2397190946013974
2006,Alaska,-0.01058444265204539,0.4267773709807432,-0.01058444265204539,0.4267773709807432
2007,Alaska,-0.012788313446353339,0.6343025534922615,-0.012788313446353339,0.6343025534922615
2008,Alaska,0.0018125319777728688,1.4344485961373294,0.0018125319777728688,1.4344485961373294
2009,Alaska,0.05257883430668775,1.512118910392604,0.05257883430668775,1.512118910392604
2010,Alaska,0.11001518682072309,1.9049891717298895,0.11001518682072309,1.9049891717298895
2011,Alaska,0.1225890206525917,2.241471730660472,0.1225890206525917,2.241471730660472
2012,Alaska,0.10904047582781429,2.5029845965097457,0.10904047582781429,2.5029845965097457
2013,Alaska,0.09668621536869604,1.8714272890351094,0.09668621536869604,1.8714272890351094
2014,Alaska,0.08542932630059386,1.931434776450133,0.08542932630059386,1.931434776450133
2015,Alaska,0.08451076617487097,2.567667929151652,0.08451076617487097,2.567667929151652
2016,Alaska,0.08855391959504377,1.2825571596788752,0.08855391959504377,1.2825571596788752
2017,Alaska,0.09097516857652121,1.2134755001660773,0.09097516857652121,1.2134755001660773
2018,Alaska,0.052213828967091924,1.162444073553119,0.052213828967091924,1.162444073553119
2019,Alaska,0.06636003871181329,1.1921443540700372,0.06636003871181329,1.1921443540700372
2020,Alaska,0.03953470857355623,1.2419000273606908,0.03953470857355623,1.2419000273606908
2003,Arizona,-0.006181276345325504,0.022882484808925296,-0.006181276345325504,0.022882484808925296
2004,Arizona,0.00997341826489384,0.2543877693139256,0.00997341826489384,0.2543877693139256
2005,Arizona,0.009380768255674576,0.2669935369867511,0.009380768255674576,0.2669935369867511
2006,Arizona,-0.007282458747957965,0.33351080166808167,-0.007282458747957965,0.33351080166808167
