State,Year,Salary,CPI,Salary Adj,Salary Adj Pct
Alabama,2002,37194,178.1666667,54933.81573,0
Alabama,2003,38246,182.0916667,55269.97705,0.028284132
Alabama,2004,38325,186.1083333,54188.81802,0.03040813
Alabama,2005,38186,191.7,52417.38968,0.026670968
Alabama,2006,40347,198.9416667,53367.74233,0.084771737
Alabama,2007,43389,204.112,55937.67833,0.166559122
Alabama,2008,46604,211.684,57933.33031,0.252997795
Alabama,2009,46879,214.6485833,57470.32418,0.260391461
Alabama,2010,47571,216.7613333,57750.24109,0.278996612
Alabama,2011,47803,221.0613333,56903.07056,0.285234178
Alabama,2012,48003,227.5535,55510.89055,0.290611389
Alabama,2013,47949,231.3886667,54529.4108,0.289159542
Alabama,2014,48720,234.989,54557.3266,0.309888692
Alabama,2015,48611,236.6704167,54048.53346,0.306958112
Alabama,2016,48518,238.2429167,53589.07088,0.304457708
Alabama,2017,50391,242.6751667,54641.2939,0.354815293
Alabama,2018,50568,248.1315,53627.45793,0.359574125
Alabama,2019,52009,253.2578333,54039.20495,0.398316933
Alabama,2020,54095,257.27275,55329.49048,0.454401248
Alabama,2021,54271,263.1439167,54271,0.459133194
Alaska,2002,49418,178.1666667,72988.0977,0
Alaska,2003,49685,182.0916667,71800.68006,0.00540289
Alaska,2004,51736,186.1083333,73151.01602,0.046905986
Alaska,2005,52424,191.7,71961.69373,0.060828038
Alaska,2006,53553,198.9416667,70835.56907,0.083673965
Alaska,2007,54658,204.112,70465.82365,0.106034239
Alaska,2008,56758,211.684,70555.74546,0.148528876
Alaska,2009,58395,214.6485833,71588.1222,0.181654458
Alaska,2010,59672,216.7613333,72440.6127,0.207495245
Alaska,2011,62918,221.0613333,74895.45412,0.273179813
Alaska,2012,62425,227.5535,72188.55785,0.263203691
Alaska,2013,65468,231.3886667,74452.67819,0.324780444
Alaska,2014,65891,234.989,73785.64875,0.333340079
Alaska,2015,66755,236.6704167,74222.08658,0.350823587
Alaska,2016,67443,238.2429167,74492.1,0.364745639
Alaska,2017,68138,242.6751667,73885.18751,0.378809341
Alaska,2018,69682,248.1315,73897.89044,0.410053017
Alaska,2019,70277,253.2578333,73020.30815,0.422093164
Alaska,2020,72010,257.27275,73653.32488,0.457161358
Alaska,2021,72861,263.1439167,72861,0.474381804
Arizona,2002,39973,178.1666667,59038.27005,0
Arizona,2003,40894,182.0916667,59096.6491,0.023040552
Arizona,2004,41843,186.1083333,59163.01924,0.046781578
Arizona,2005,42905,191.7,58895.09517,0.073349511
Arizona,2006,44672,198.9416667,59088.50188,0.117554349
Arizona,2007,45941,204.112,59227.75082,0.149300778
Arizona,2008,45772,211.684,56899.07293,0.145072924
Arizona,2009,46358,214.6485833,56831.61519,0.15973282
Arizona,2010,46952,216.7613333,56998.78749,0.17459285
Arizona,2011,47553,221.0613333,56605.47903,0.189627999
Arizona,2012,48691,227.5535,56306.49692,0.218097216
Arizona,2013,49885,231.3886667,56731.10301,0.247967378
Arizona,2014,45335,234.989,50766.75701,0.134140545
Arizona,2015,45406,236.6704167,50485.02829,0.135916744
Arizona,2016,47218,238.2429167,52153.1957,0.181247342
Arizona,2017,47403,242.6751667,51401.26719,0.185875466
Arizona,2018,48723,248.1315,51670.83201,0.218897756
Arizona,2019,50353,253.2578333,52318.56192,0.259675281
Arizona,2020,50782,257.27275,51940.88521,0.270407525
Arizona,2021,52157,263.1439167,52157,0.304805744
Arkansas,2002,36962,178.1666667,54591.16248,0
Arkansas,2003,37753,182.0916667,54557.53395,0.021400357
Arkansas,2004,39314,186.1083333,55587.19352,0.06363292
Arkansas,2005,40495,191.7,55586.92178,0.095584655
Arkansas,2006,42768,198.9416667,56570.04496,0.157080245
Arkansas,2007,44245,204.112,57041.24497,0.197040203
Arkansas,2008,45773,211.684,56900.31603,0.238379958
Arkansas,2009,47472,214.6485833,58197.30006,0.284346085
Arkansas,2010,46700,216.7613333,56692.86454,0.263459769
Arkansas,2011,46500,221.0613333,55352.02353,0.258048807
Arkansas,2012,46314,227.5535,53557.72316,0.253016612
Arkansas,2013,46631,231.3886667,53030.53151,0.261592987
Arkansas,2014,47319,234.989,52988.46751,0.280206699
Arkansas,2015,47823,236.6704167,53172.38928,0.293842325
Arkansas,2016,48218,238.2429167,53257.71507,0.304528976
