State,Year,Salary,CPI,Salary Adj,Salary Adj Pct
Alabama,2002,37194,178.1666667,54933.81573,0
Alabama,2003,38246,182.0916667,55269.97705,0.006119388
Alabama,2004,38325,186.1083333,54188.81802,-0.013561732
Alabama,2005,38186,191.7,52417.38968,-0.045808324
Alabama,2006,40347,198.9416667,53367.74233,-0.028508367
Alabama,2007,43389,204.112,55937.67833,0.018274037
Alabama,2008,46604,211.684,57933.33031,0.054602334
Alabama,2009,46879,214.6485833,57470.32418,0.046173899
Alabama,2010,47571,216.7613333,57750.24109,0.051269429
Alabama,2011,47803,221.0613333,56903.07056,0.035847771
Alabama,2012,48003,227.5535,55510.89055,0.010504911
Alabama,2013,47949,231.3886667,54529.4108,-0.007361676
Alabama,2014,48720,234.989,54557.3266,-0.006853504
Alabama,2015,48611,236.6704167,54048.53346,-0.016115434
Alabama,2016,48518,238.2429167,53589.07088,-0.024479364
Alabama,2017,50391,242.6751667,54641.2939,-0.005324987
Alabama,2018,50568,248.1315,53627.45793,-0.023780576
Alabama,2019,52009,253.2578333,54039.20495,-0.016285247
Alabama,2020,54095,257.27275,55329.49048,0.007202754
Alabama,2021,54271,263.1439167,54271,-0.012065714
Alaska,2002,49418,178.1666667,72988.0977,0
Alaska,2003,49685,182.0916667,71800.68006,-0.016268648
Alaska,2004,51736,186.1083333,73151.01602,0.002232122
Alaska,2005,52424,191.7,71961.69373,-0.014062621
Alaska,2006,53553,198.9416667,70835.56907,-0.029491502
Alaska,2007,54658,204.112,70465.82365,-0.034557334
Alaska,2008,56758,211.684,70555.74546,-0.033325327
Alaska,2009,58395,214.6485833,71588.1222,-0.019180874
Alaska,2010,59672,216.7613333,72440.6127,-0.007501018
Alaska,2011,62918,221.0613333,74895.45412,0.026132431
Alaska,2012,62425,227.5535,72188.55785,-0.010954387
Alaska,2013,65468,231.3886667,74452.67819,0.020066018
Alaska,2014,65891,234.989,73785.64875,0.010927138
Alaska,2015,66755,236.6704167,74222.08658,0.016906714
Alaska,2016,67443,238.2429167,74492.1,0.020606131
Alaska,2017,68138,242.6751667,73885.18751,0.012290905
Alaska,2018,69682,248.1315,73897.89044,0.012464947
Alaska,2019,70277,253.2578333,73020.30815,4.41E-04
Alaska,2020,72010,257.27275,73653.32488,0.009114187
Alaska,2021,72861,263.1439167,72861,-0.001741348
Arizona,2002,39973,178.1666667,59038.27005,0
Arizona,2003,40894,182.0916667,59096.6491,9.89E-04
Arizona,2004,41843,186.1083333,59163.01924,0.002113022
Arizona,2005,42905,191.7,58895.09517,-0.00242512
Arizona,2006,44672,198.9416667,59088.50188,8.51E-04
Arizona,2007,45941,204.112,59227.75082,0.003209457
Arizona,2008,45772,211.684,56899.07293,-0.036234075
Arizona,2009,46358,214.6485833,56831.61519,-0.037376686
Arizona,2010,46952,216.7613333,56998.78749,-0.034545094
Arizona,2011,47553,221.0613333,56605.47903,-0.041207017
Arizona,2012,48691,227.5535,56306.49692,-0.046271226
Arizona,2013,49885,231.3886667,56731.10301,-0.039079178
Arizona,2014,45335,234.989,50766.75701,-0.140104258
Arizona,2015,45406,236.6704167,50485.02829,-0.144876226
Arizona,2016,47218,238.2429167,52153.1957,-0.11662053
Arizona,2017,47403,242.6751667,51401.26719,-0.12935682
Arizona,2018,48723,248.1315,51670.83201,-0.124790886
Arizona,2019,50353,253.2578333,52318.56192,-0.11381953
Arizona,2020,50782,257.27275,51940.88521,-0.12021668
Arizona,2021,52157,263.1439167,52157,-0.116556092
Arkansas,2002,36962,178.1666667,54591.16248,0
Arkansas,2003,37753,182.0916667,54557.53395,-6.16E-04
Arkansas,2004,39314,186.1083333,55587.19352,0.01824528
Arkansas,2005,40495,191.7,55586.92178,0.018240302
Arkansas,2006,42768,198.9416667,56570.04496,0.036249136
Arkansas,2007,44245,204.112,57041.24497,0.04488057
Arkansas,2008,45773,211.684,56900.31603,0.042299036
Arkansas,2009,47472,214.6485833,58197.30006,0.066057168
Arkansas,2010,46700,216.7613333,56692.86454,0.038498943
Arkansas,2011,46500,221.0613333,55352.02353,0.01393744
Arkansas,2012,46314,227.5535,53557.72316,-0.018930524
Arkansas,2013,46631,231.3886667,53030.53151,-0.028587612
Arkansas,2014,47319,234.989,52988.46751,-0.02935814
Arkansas,2015,47823,236.6704167,53172.38928,-0.025989064
Arkansas,2016,48218,238.2429167,53257.71507,-0.024426067
Arkansas,2017,48304,242.6751667,52378.2632,-0.040535852
Arkansas,2018,50544,248.1315,53602.00589,-0.018119354
Arkansas,2019,49438,253.2578333,51367.84431,-0.059044688
Arkansas,2020,50456,257.27275,51607.44564,-0.054655675
Arkansas,2021,50992,263.1439167,50992,-0.065929398
California,2002,54348,178.1666667,80269.47942,0
California,2003,56283,182.0916667,81335.56759,0.013281364
California,2004,56444,186.1083333,79807.79241,-0.005751713
California,2005,57876,191.7,79445.5781,-0.010264192
California,2006,59825,198.9416667,79131.66245,-0.014174964
California,2007,63640,204.112,82045.53802,0.022126201
California,2008,64424,211.684,80085.33327,-0.002294099
California,2009,68093,214.6485833,83477.18135,0.039961664
California,2010,68203,216.7613333,82797.07581,0.031488885
California,2011,67871,221.0613333,80791.3374,0.006501325
California,2012,68531,227.5535,79249.5644,-0.012706137
California,2013,69324,231.3886667,78837.86679,-0.017835081
California,2014,71396,234.989,79950.22352,-0.003977301
California,2015,72535,236.6704167,80648.62632,0.004723425
California,2016,77179,238.2429167,85245.7006,0.061993939
California,2017,79128,242.6751667,85802.15324,0.068926245
California,2018,80680,248.1315,85561.28987,0.065925561
California,2019,83059,253.2578333,86301.26179,0.075144157
California,2020,84531,257.27275,86460.06396,0.07712252
California,2021,85892,263.1439167,85892,0.070045559
Colorado,2002,40659,178.1666667,60051.46029,0
Colorado,2003,41274.69994,182.0916667,59646.80537,-0.006738469
Colorado,2004,43319,186.1083333,61249.97802,0.019958178
Colorado,2005,43949,191.7,60328.17941,0.004608033
Colorado,2006,44439,198.9416667,58780.30836,-0.021167711
Colorado,2007,45833,204.112,59088.51578,-0.016035322
Colorado,2008,47248,211.684,58733.88529,-0.021940765
Colorado,2009,48487,214.6485833,59441.61797,-0.010155329
Colorado,2010,49202,216.7613333,59730.24242,-0.005349043
Colorado,2011,49228,221.0613333,58599.34225,-0.024181228
